   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: RSA

   Station: UPINGTON

   Coordinates:

   Latitude =28DEG24'S

   Longitude =21DEG16'E

   Elevation = 836

   WMO Identifier: 68424

   Year 1964

  +----------------------------------------------------------------------------+
  |DATE|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   1|    -|2|    -|2| 1494|0| 1452|0| 1553|0| 2177|0| 2721|0| 3111|0| 2705|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   2| 2135|0| 1821|0| 1477|0| 1507|0| 1507|0| 2290|0| 2704|0| 3052|0| 2613|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   3| 2365|0| 1796|0| 1172|0| 1519|0| 1289|0| 2302|0| 2683|0| 2416|0| 3044|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   4| 2336|0| 1787|0| 1306|0| 1247|0| 1775|0| 2244|0| 1666|0| 1164|0| 2885|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   5| 1992|0| 1783|0| 1356|0| 1540|0| 1817|0| 2185|0| 2474|0|    -|2| 3023|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   6| 2231|0| 1616|0| 1117|0| 1544|0| 1758|0| 2294|0| 2323|0| 2914|0| 2600|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   7| 2252|0| 1745|0| 1423|0| 1540|0| 1745|0| 2311|0| 2528|0| 3140|0| 3270|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   8| 2219|0| 1796|0| 1448|0| 1540|0| 1766|0| 2005|0| 2583|0| 3245|0| 3370|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   9| 2097|0| 1733|0| 1436|0| 1544|0| 1678|0| 2072|0| 2629|0| 3274|0|    -|2|
