   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: QUELIMANE

   Coordinates:

   Latitude =17DEG53'S

   Longitude =36DEG53'E

   Elevation = 6

   WMO Identifier: 67283

   Year 2005

   +------------------------------------+
   |         DATE |         JUN |     F |
   |--------------+-------------+-------|
   |            1 |        1511 |     0 |
   |--------------+-------------+-------|
   |            2 |        1537 |     0 |
   |--------------+-------------+-------|
   |            3 |        1260 |     0 |
   |--------------+-------------+-------|
   |            4 |        1310 |     0 |
   |--------------+-------------+-------|
   |            5 |        1591 |     0 |
   |--------------+-------------+-------|
   |            6 |        1612 |     0 |
   |--------------+-------------+-------|
   |            7 |           - |     2 |
   |--------------+-------------+-------|
   |            8 |           - |     2 |
   |--------------+-------------+-------|
   |            9 |        1461 |     0 |
   |--------------+-------------+-------|
   |           10 |        1386 |     0 |
   |--------------+-------------+-------|
   |           11 |        1185 |     0 |
   |--------------+-------------+-------|
   |           12 |        1616 |     0 |
   |--------------+-------------+-------|
   |           13 |           - |     2 |
   |--------------+-------------+-------|
   |           14 |           - |     2 |
   |--------------+-------------+-------|
   |           15 |           - |     2 |
   |--------------+-------------+-------|
   |           16 |         816 |     0 |
   |--------------+-------------+-------|
   |           17 |        1394 |     0 |
   |--------------+-------------+-------|
   |           18 |         703 |     0 |
   |--------------+-------------+-------|
   |           19 |        1436 |     0 |
   |--------------+-------------+-------|
   |           20 |        1105 |     0 |
   |--------------+-------------+-------|
   |           21 |         976 |     0 |
   |--------------+-------------+-------|
   |           22 |        1608 |     0 |
   |--------------+-------------+-------|
   |           23 |         913 |     0 |
   |--------------+-------------+-------|
   |           24 |        1160 |     0 |
   |--------------+-------------+-------|
   |           25 |        1001 |     0 |
   |--------------+-------------+-------|
   |           26 |           - |     2 |
   |--------------+-------------+-------|
   |           27 |        1491 |     0 |
   |--------------+-------------+-------|
   |           28 |        1440 |     0 |
   |--------------+-------------+-------|
   |           29 |           - |     2 |
   |--------------+-------------+-------|
   |           30 |        1620 |     0 |
   |--------------+-------------+-------|
   |           31 |           - |     - |
   |--------------+-------------+-------|
   |          SUM |       39303 |     1 |
   |--------------+-------------+-------|
   |         MEAN |        1310 |     1 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
