   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 1975

+--------------------------------------------------------------------------------------------+
|DATE|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 1705|0| 1968|0| 2089|0| 1972|0| 1826|0| 1233|0| 2002|0| 1994|0| 2583|0| 2583|0| 2202|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 1782|0| 2033|0| 2085|0| 1553|0| 1752|0| 1151|0| 1847|0| 2163|0| 2033|0| 2194|0| 2716|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 2059|0| 1527|0| 1670|0| 1903|0| 1743|0| 1717|0| 1614|0| 1492|0| 2245|0| 2340|0| 1743|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 1865|0| 1264|1|  791|0| 1298|0| 1977|0| 1774|0| 1630|0| 1727|0|  489|0| 2323|0| 2128|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 1678|0| 1315|0| 1721|0| 1579|0| 1341|0| 1402|0| 1778|0| 2172|0| 1955|0| 2202|0| 2279|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2475|1| 2158|0| 1717|0| 2340|0| 2063|0| 1484|0| 1003|0| 2514|0| 2093|0| 2435|0| 1990|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   7| 3028|0| 2285|0| 1847|0| 1947|0| 1523|0| 1203|0| 1527|0| 2652|0| 2842|0| 2583|0| 2163|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   8| 3124|0| 2033|0| 1389|0| 2224|0| 1380|0| 1812|0| 1877|0| 2375|0| 2721|0| 2578|0| 1838|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   9| 1838|0| 1385|0| 1423|0| 2180|0| 1484|0| 1705|0| 1731|0|  926|0| 2544|0| 2306|0| 2232|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  10| 1444|0| 1752|0| 2133|0| 2124|0| 1519|0| 1982|0| 1173|0| 1691|0| 2682|0| 2189|0| 2271|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  11|  926|0| 1233|0| 2319|0| 2362|0| 1826|0|  736|0| 1056|0| 1972|0| 2756|0| 2103|0| 2475|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  12| 2583|0| 2168|0| 2319|0| 2375|0| 1614|0| 1877|0| 1086|0| 2319|0| 2103|0| 1064|0| 1444|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  13| 1994|0| 1566|0| 2107|0| 2306|0| 1276|0| 1652|0| 1747|0| 2656|0| 1626|0| 2150|0| 1341|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  14| 1743|0| 2206|0| 2111|0| 2124|0| 1440|0| 1816|0| 2089|0| 2509|0| 1808|0| 2180|0| 1363|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  15| 1640|0| 1618|0| 2219|0| 2033|0| 1142|0| 1666|0| 1596|0| 2496|0| 2206|0| 1747|0| 2016|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  16| 1769|0| 2314|0| 1510|0| 1258|0| 1289|0| 1583|0| 1982|0| 2375|0| 2163|0| 1345|0| 1943|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  17| 1796|0| 2483|0| 2072|0| 2093|0| 1696|0| 1644|0| 1913|0| 2180|0| 2540|0| 1333|0| 1272|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  18| 2184|0| 1913|0| 2146|0| 1865|1| 1636|0| 1670|0| 1333|0| 1432|0| 2769|0| 1856|0| 1211|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  19| 2354|0| 2146|0| 1592|0| 1782|0| 1743|0| 1375|0| 1786|0| 1471|0| 2465|0| 2310|0| 2600|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  20| 1964|0| 1990|0| 1630|0| 1960|0| 1778|0| 1765|0| 1319|0| 1891|0| 2609|0| 2877|0| 2384|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  21| 2475|0| 1466|0| 1865|0| 1691|0| 1843|0| 1786|0| 1082|0| 2414|0| 2833|0| 2552|0| 2228|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  22| 1630|0| 1826|0| 1224|0| 2263|0| 1791|0| 1700|0| 2124|0| 2081|0| 2902|0| 1648|0| 2500|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  23| 2445|0| 1808|0| 1583|0| 2232|0| 1808|0| 1583|0| 2522|0| 1877|0| 2141|0| 1553|0| 1601|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  24|  813|0| 2063|0| 1661|0| 2293|0| 1622|0| 1717|0| 1955|0| 2141|0| 2708|0| 2431|0| 2279|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  25| 2259|0| 2526|0| 2033|0| 2275|0| 1786|0| 2254|0| 1440|0| 1816|0| 2483|0| 2115|0| 1618|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  26| 1826|0| 1899|0| 2099|0| 2249|0| 1998|0| 2297|0| 1955|0| 2297|0| 2747|0| 2180|0| 1800|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  27| 1856|0| 2661|0| 2055|0| 2012|0| 2051|0| 2285|0| 2306|0| 2396|0| 2540|0| 2115|0| 1913|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  28| 1727|0| 2544|0| 1466|0| 2163|0| 1670|0| 2206|0| 1575|0| 2245|0| 2431|0| 2319|0| 1423|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  29|    -|-| 2202|0| 1276|0| 2068|0| 1527|0| 2206|0|  982|0| 2652|0| 1626|0| 2439|0| 1717|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  30|    -|-| 2124|0| 1345|0| 2046|0| 1264|0| 2228|0| 1640|0| 2652|0| 2271|0| 2099|0| 1444|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  31|    -|-| 1826|0|    -|-| 2055|0|    -|-| 1687|0| 1614|0|    -|-| 2297|0|    -|-| 1903|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
| SUM|54982|0|60302|0|53497|0|62625|0|49408|0|53196|0|51284|0|63578|0|72211|0|64149|0|60037|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|MEAN| 1964|0| 1945|0| 1783|0| 2020|0| 1647|0| 1716|0| 1654|0| 2119|0| 2329|0| 2138|0| 1937|0|
+--------------------------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
