   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BEIRA

   Coordinates:

   Latitude =19DEG50'S

   Longitude =34DEG51'E

   Elevation = 7

   WMO Identifier: 67297

   Year 2006

   +---------------------------------------------------------+
   |        DATE |         SEP |     F |         OCT |     F |
   |-------------+-------------+-------+-------------+-------|
   |           1 |        2072 |     0 |        2144 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           2 |        1645 |     0 |        1947 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           3 |        2119 |     0 |        1524 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           4 |        1809 |     0 |        1122 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           5 |        2273 |     0 |        1310 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           6 |        2156 |     0 |        1587 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           7 |        1972 |     0 |        1595 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           8 |        2052 |     0 |        1972 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           9 |        2156 |     0 |        1964 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          10 |        2181 |     0 |        1721 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          11 |        2139 |     0 |        2056 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          12 |        2123 |     0 |        1034 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          13 |        2022 |     0 |        1357 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          14 |        1964 |     0 |        1884 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          15 |        1817 |     0 |        2110 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          16 |        1784 |     0 |        1876 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          17 |        1671 |     0 |        1499 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          18 |        1537 |     0 |        1474 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          19 |        2232 |     0 |        1436 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          20 |        2236 |     0 |        2064 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          21 |        1030 |     0 |        1964 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          22 |        2001 |     0 |        2119 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          23 |        2537 |     0 |        2039 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          24 |        2604 |     0 |        2043 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          25 |        2462 |     0 |        2252 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          26 |        2186 |     0 |        1415 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          27 |        2206 |     0 |        1704 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          28 |        2173 |     0 |        1733 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          29 |        2139 |     0 |        1796 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          30 |        2144 |     0 |        2160 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          31 |           - |     - |        2031 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |         SUM |       61442 |     0 |       54932 |     6 |
   |-------------+-------------+-------+-------------+-------|
   |        MEAN |        2048 |     0 |        1772 |     6 |
   +---------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
