   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZIMBABWE

   Station: HARARE / BELVEDERE

   Coordinates:

   Latitude =17DEG50'S

   Longitude =31DEG01'E

   Elevation = 1472

   WMO Identifier: 67774

   Year 1990

   +------------------------------------------------------------------------+
   |  DATE |    JUL | F |    AUG | F |    SEP | F |    OCT | F |    NOV | F |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     1 |   1632 | 0 |   1888 | 0 |   1916 | 0 |   1675 | 0 |   2440 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     2 |   1732 | 0 |   1969 | 0 |   1870 | 0 |   2620 | 0 |   2477 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     3 |   1765 | 0 |   1968 | 0 |   2208 | 0 |   2414 | 0 |   2922 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     4 |   1121 | 0 |   1907 | 0 |   2201 | 0 |   2264 | 0 |   2654 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     5 |   1721 | 0 |   1535 | 0 |   1941 | 0 |   2243 | 0 |   2823 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     6 |   1721 | 0 |   1376 | 0 |   2436 | 0 |   2344 | 0 |   2388 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     7 |   1761 | 0 |   1110 | 0 |   2452 | 0 |   2205 | 0 |   2351 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     8 |   1704 | 0 |   1380 | 0 |   2315 | 0 |   2216 | 0 |   2569 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     9 |   1709 | 0 |   2081 | 0 |   2314 | 0 |   2388 | 0 |   2565 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    10 |   1639 | 0 |   1797 | 0 |   2412 | 0 |   2393 | 0 |   2899 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    11 |   1539 | 0 |   2073 | 0 |   2364 | 0 |   2516 | 0 |   2945 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    12 |   1663 | 0 |   1853 | 0 |   2318 | 0 |   2338 | 0 |   2850 | 0 |
