   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 2007

   +------------------------------------------------------------------------+
   |   DATE|     APR|F|     MAY|F|     JUN|F|     JUL|F|     AUG|F|    SEP|F|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      1|    1863|0|    1654|0|     854|0|    1294|0|    1729|0|   1566|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      2|    1604|0|    1892|0|     821|0|     821|0|    1428|0|   1637|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      3|    1880|0|    1566|0|    1348|0|    1348|0|    1767|0|   1608|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      4|    1675|0|    1888|0|    1574|0|    1574|0|    1557|0|   1499|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      5|    1700|0|    1285|0|    1398|0|    1398|0|    1557|0|   1411|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      6|    1742|0|    1352|0|    1553|0|    1553|0|     775|0|   1562|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      7|    2060|0|    1214|0|    1557|0|    1641|0|    1038|0|   1717|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      8|    1880|0|    1248|0|    1398|0|    1440|0|    1038|0|   1754|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      9|    1591|0|    1524|0|    1624|0|    1624|0|    1017|0|   1855|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     10|    1587|0|     900|0|    1474|0|    1474|0|    1390|0|   1767|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     11|    1503|0|     904|0|    1507|0|    1507|0|    1562|0|   1876|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     12|    1202|0|    1470|0|    1633|0|    1633|0|    1080|0|   1754|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     13|    1704|0|    1298|0|    1671|0|    1671|0|    1147|0|   1587|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     14|    1373|0|    1365|0|    1608|0|    1608|0|    1210|0|   1792|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     15|    1243|0|    1264|0|    1725|0|    1725|0|    1700|0|   1637|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     16|    1160|0|    1227|0|    1503|0|    1503|0|    1666|0|   1147|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     17|    1524|0|    1336|0|    1130|0|    1130|0|    1080|0|   1486|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     18|     850|0|     595|0|    1557|0|    1557|0|    1595|0|   1336|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     19|    1537|0|    1147|0|    1176|0|    1130|0|    1758|0|   1637|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     20|    1524|0|    1499|0|    1541|0|    1511|0|    1440|0|   1951|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     21|     900|0|    1369|0|    1507|0|    1507|0|    1235|0|   1763|0|
