   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAIRE

   Station: INONGO

   Coordinates:

   Latitude =1DEG58'S

   Longitude =18DEG16'E

   Elevation = 310

   WMO Identifier: 64115

   Year 1984

   +---------------------------------------------------------+
   |        DATE |         JAN |     F |         FEB |     F |
   |-------------+-------------+-------+-------------+-------|
   |           1 |        1756 |     0 |        1441 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           2 |        1902 |     0 |         884 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           3 |        1441 |     0 |        1512 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           4 |         838 |     0 |        1232 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           5 |         637 |     0 |         411 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           6 |         788 |     0 |        1580 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           7 |        1772 |     0 |           - |     2 |
   |-------------+-------------+-------+-------------+-------|
   |           8 |        1894 |     0 |        1131 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           9 |        1793 |     0 |        1441 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          10 |        1215 |     0 |        1823 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          11 |         968 |     0 |        1864 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          12 |        1345 |     0 |         662 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          13 |        1710 |     0 |        1747 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          14 |        1001 |     0 |        2099 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          15 |         385 |     0 |        2133 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          16 |        1596 |     0 |        2045 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          17 |        1651 |     0 |        1927 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          18 |        1240 |     0 |        1425 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          19 |        1693 |     0 |        1802 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          20 |        1886 |     0 |        1772 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          21 |        1793 |     0 |         561 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          22 |        1626 |     0 |        1617 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          23 |        1282 |     0 |        1927 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          24 |        1684 |     0 |        1207 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          25 |        1710 |     0 |        1131 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          26 |        1764 |     0 |        1701 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          27 |        1441 |     0 |        1642 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          28 |        1596 |     0 |        1927 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          29 |        1710 |     0 |         876 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          30 |        1198 |     0 |           - |     - |
   |-------------+-------------+-------+-------------+-------|
   |          31 |        1668 |     0 |           - |     - |
   |-------------+-------------+-------+-------------+-------|
   |         SUM |       44983 |     0 |       43003 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |        MEAN |        1451 |     0 |        1483 |     0 |
   +---------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
