   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: KENYA

   Station: NAROK

   Coordinates:

   Latitude =1DEG08'S

   Longitude =35DEG50'E

   Elevation = 1890

   WMO Identifier: 63737

   Year 1964

   +------------------------------------------------------------------------+
   |   DATE|     JUL|F|     AUG|F|     SEP|F|     OCT|F|     NOV|F|    DEC|F|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      1|     568|0|    1198|0|    1836|0|    1552|0|    1994|0|   2088|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      2|    1814|0|    1137|0|    1916|0|    1574|0|    1536|0|   1741|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      3|    1288|0|     718|0|    1895|0|    1147|0|    2434|0|   1788|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      4|    1219|0|     521|0|    1566|0|    1536|0|    2391|0|   1022|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      5|    1415|0|     568|0|     979|0|    1133|0|    2575|0|   1125|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      6|    1489|0|     470|0|    1664|0|    1942|0|    2169|0|   2109|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      7|    1587|0|     351|0|    1638|0|    1536|0|    2331|0|   2199|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      8|    1783|0|     599|0|    1595|0|    2118|0|    2558|0|   2199|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      9|    1767|0|    1693|0|    1638|0|    1587|0|    2310|0|   2413|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     10|    1767|0|    2113|0|    2075|0|    1331|0|    1873|0|   2147|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     11|    2036|0|    2263|0|    1548|0|    2045|0|    1840|0|   2096|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     12|    1767|0|    2066|0|    2014|0|     654|0|    1728|0|   2229|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     13|    2066|0|    1625|0|    1646|0|    1454|0|    1382|0|   1972|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     14|    1069|0|    1994|0|     671|0|    1227|0|    2250|0|   1788|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     15|    1288|0|     770|0|    1505|0|    1505|0|    1587|0|   1840|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     16|    1368|0|    1317|0|    1925|0|    2045|0|    2241|0|   2147|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     17|    1249|0|    1415|0|    1505|0|    2575|0|    2558|0|   2353|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     18|    1468|0|    1236|0|     928|0|    2425|0|    2169|0|   2147|0|
