   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: MWANZA

   Coordinates:

   Latitude =2DEG28'S

   Longitude =32DEG55'E

   Elevation = 1139

   WMO Identifier: 63756

   Year 1976

  +----------------------------------------------------------------------------+
  |DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   1| 1679|0| 2156|0| 1361|0| 2550|0| 2139|0| 1746|0| 2110|0| 2148|0| 1449|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   2| 1076|0| 1750|0| 1323|0| 2018|0| 2202|0| 2433|0| 2232|0| 2194|0| 1562|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   3| 1771|0| 2119|0| 2072|0| 1888|0| 2366|0| 2265|0| 1239|0| 2219|0| 1331|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   4| 2357|0| 2219|0| 2479|0| 1817|0| 2156|0| 1993|0| 1110|0| 2211|0| 2194|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   5| 1076|0| 2340|0| 2403|0| 1817|0| 2458|0| 2340|0| 1524|0| 2458|0| 1834|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   6|  917|0| 2211|0| 1130|0| 1717|0| 2412|0| 1624|0| 1248|0| 2081|0| 2248|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   7| 2211|0| 1562|0| 1809|0| 1918|0| 2219|0| 2018|0| 1202|0| 1834|0| 2525|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   8| 1461|0| 2173|0| 2248|0| 1587|0| 2395|0| 2186|0|  699|0| 1486|0| 2211|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   9| 1495|0| 2194|0| 2558|0| 2441|0| 2018|0| 2131|0|  854|0| 1809|0| 2110|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  10| 1717|0| 2357|0| 2650|0| 1377|0| 2010|0| 2173|0|  770|0|  946|0| 2257|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  11| 1964|0| 2340|0| 2504|0| 1616|0| 2102|0| 2001|0| 2039|0| 1624|0| 2449|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  12| 2340|0| 2357|0| 2340|0| 1587|0| 2303|0| 2349|0| 2211|0| 1863|0| 2303|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  13| 2110|0| 1294|0| 2449|0| 2386|0| 1980|0| 2248|0| 2232|0| 1185|0| 2525|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  14| 2273|0| 1440|0| 2433|0| 2378|0| 1662|0| 2332|0| 2102|0| 1993|0| 2202|0|
