   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: PEMBA

   Coordinates:

   Latitude =12DEG59'S

   Longitude =40DEG31'E

   Elevation = 99

   WMO Identifier: 67215

   Year 1973

   +------------------------------------------------------------------------+
   |       DATE |        OCT |    F |        NOV |    F |        DEC |    F |
   |------------+------------+------+------------+------+------------+------|
   |          1 |       2574 |    0 |       2795 |    0 |       2756 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          2 |       2530 |    0 |       2773 |    0 |       2669 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          3 |       2583 |    0 |       2821 |    0 |       2522 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          4 |       2319 |    0 |       2764 |    0 |       2128 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          5 |       2271 |    0 |       2803 |    0 |       2349 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          6 |       2600 |    0 |       2786 |    0 |       2380 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          7 |       2609 |    0 |       2821 |    0 |       1778 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          8 |       2661 |    0 |       1895 |    0 |       2872 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          9 |       2349 |    0 |       2241 |    0 |       2872 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         10 |       2254 |    0 |       2811 |    0 |       2872 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         11 |       2708 |    0 |       2881 |    0 |       2591 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         12 |       2457 |    0 |       2851 |    0 |       2716 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         13 |       2742 |    0 |       2678 |    0 |       2245 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         14 |       2747 |    0 |       2842 |    0 |       2574 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         15 |       2738 |    0 |       2811 |    0 |       2591 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         16 |       2609 |    0 |       2621 |    0 |       2600 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         17 |       2522 |    0 |       2833 |    0 |       2124 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         18 |       2635 |    0 |       2773 |    0 |       2859 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         19 |       2686 |    0 |       2194 |    0 |       2756 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         20 |       2340 |    0 |       1371 |    0 |       2872 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         21 |       2726 |    0 |       2124 |    0 |       2496 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         22 |       2747 |    0 |       2661 |    0 |       2609 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         23 |       2349 |    0 |       2734 |    0 |       1363 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         24 |       2396 |    0 |       2661 |    0 |       2002 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         25 |       2747 |    0 |       2366 |    0 |       1575 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         26 |       2661 |    0 |       2669 |    0 |       2535 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         27 |       2617 |    0 |       2825 |    0 |       2795 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         28 |       1691 |    0 |       2756 |    0 |       2591 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         29 |       2656 |    0 |       2821 |    0 |       2002 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         30 |       2756 |    0 |       2833 |    0 |       1025 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         31 |       2782 |    0 |          - |    - |       1073 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |        SUM |      79062 |    0 |      78815 |    0 |      73192 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |       MEAN |       2550 |    0 |       2627 |    0 |       2361 |    0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
