   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BEIRA

   Coordinates:

   Latitude =19DEG50'S

   Longitude =34DEG51'E

   Elevation = 7

   WMO Identifier: 67297

   Year 2002

   +------------------------------------+
   |         DATE |         OCT |     F |
   |--------------+-------------+-------|
   |            1 |        1876 |     0 |
   |--------------+-------------+-------|
   |            2 |        2035 |     0 |
   |--------------+-------------+-------|
   |            3 |        2144 |     0 |
   |--------------+-------------+-------|
   |            4 |        1583 |     0 |
   |--------------+-------------+-------|
   |            5 |        2110 |     0 |
   |--------------+-------------+-------|
   |            6 |        2018 |     0 |
   |--------------+-------------+-------|
   |            7 |        1729 |     0 |
   |--------------+-------------+-------|
   |            8 |         967 |     0 |
   |--------------+-------------+-------|
   |            9 |         498 |     0 |
   |--------------+-------------+-------|
   |           10 |        2705 |     0 |
   |--------------+-------------+-------|
   |           11 |        2772 |     0 |
   |--------------+-------------+-------|
   |           12 |        2089 |     0 |
   |--------------+-------------+-------|
   |           13 |        2173 |     0 |
   |--------------+-------------+-------|
   |           14 |        2386 |     0 |
   |--------------+-------------+-------|
   |           15 |        2675 |     0 |
   |--------------+-------------+-------|
   |           16 |        2642 |     0 |
   |--------------+-------------+-------|
   |           17 |        2759 |     0 |
   |--------------+-------------+-------|
   |           18 |        2696 |     0 |
   |--------------+-------------+-------|
   |           19 |        2441 |     0 |
   |--------------+-------------+-------|
   |           20 |        2608 |     0 |
   |--------------+-------------+-------|
   |           21 |        2621 |     0 |
   |--------------+-------------+-------|
   |           22 |        2378 |     0 |
   |--------------+-------------+-------|
   |           23 |        2077 |     0 |
   |--------------+-------------+-------|
   |           24 |        2332 |     0 |
   |--------------+-------------+-------|
   |           25 |        2257 |     0 |
   |--------------+-------------+-------|
   |           26 |        2500 |     0 |
   |--------------+-------------+-------|
   |           27 |        2315 |     0 |
   |--------------+-------------+-------|
   |           28 |        2307 |     0 |
   |--------------+-------------+-------|
   |           29 |        2315 |     0 |
   |--------------+-------------+-------|
   |           30 |         641 |     0 |
   |--------------+-------------+-------|
   |           31 |        1624 |     0 |
   |--------------+-------------+-------|
   |          SUM |       66273 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        2138 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
