   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: KILIMANJARO ARPT

   Coordinates:

   Latitude =3DEG25'S

   Longitude =37DEG04'E

   Elevation = 891

   WMO Identifier: 63791

   Year 1971

   +------------------------------------+
   |         DATE |         DEC |     F |
   |--------------+-------------+-------|
   |            1 |           - |     2 |
   |--------------+-------------+-------|
   |            2 |           - |     2 |
   |--------------+-------------+-------|
   |            3 |           - |     2 |
   |--------------+-------------+-------|
   |            4 |           - |     2 |
   |--------------+-------------+-------|
   |            5 |           - |     2 |
   |--------------+-------------+-------|
   |            6 |        2273 |     0 |
   |--------------+-------------+-------|
   |            7 |        2211 |     0 |
   |--------------+-------------+-------|
   |            8 |        1976 |     0 |
   |--------------+-------------+-------|
   |            9 |        2232 |     0 |
   |--------------+-------------+-------|
   |           10 |        2273 |     0 |
   |--------------+-------------+-------|
   |           11 |        2219 |     0 |
   |--------------+-------------+-------|
   |           12 |        2068 |     0 |
   |--------------+-------------+-------|
   |           13 |        2324 |     0 |
   |--------------+-------------+-------|
   |           14 |        2294 |     0 |
   |--------------+-------------+-------|
   |           15 |        2386 |     0 |
   |--------------+-------------+-------|
   |           16 |        2449 |     0 |
   |--------------+-------------+-------|
   |           17 |        2089 |     0 |
   |--------------+-------------+-------|
   |           18 |        2131 |     0 |
   |--------------+-------------+-------|
   |           19 |        1813 |     0 |
   |--------------+-------------+-------|
   |           20 |        1285 |     0 |
   |--------------+-------------+-------|
   |           21 |        1449 |     0 |
   |--------------+-------------+-------|
   |           22 |        2324 |     0 |
   |--------------+-------------+-------|
   |           23 |        1193 |     0 |
   |--------------+-------------+-------|
   |           24 |        2202 |     0 |
   |--------------+-------------+-------|
   |           25 |        1118 |     0 |
   |--------------+-------------+-------|
   |           26 |        1754 |     0 |
   |--------------+-------------+-------|
   |           27 |        2449 |     0 |
   |--------------+-------------+-------|
   |           28 |        2173 |     0 |
   |--------------+-------------+-------|
   |           29 |        1884 |     0 |
   |--------------+-------------+-------|
   |           30 |        1407 |     0 |
   |--------------+-------------+-------|
   |           31 |         938 |     0 |
   |--------------+-------------+-------|
   |          SUM |       60705 |     1 |
   |--------------+-------------+-------|
   |         MEAN |        1958 |     1 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
