   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 1981

+------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 1285|0| 2059|0| 2150|0| 2807|0|  892|0| 1501|0| 2146|0| 2189|0| 2514|0| 2591|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 1761|0| 1877|0| 2431|0| 2795|0|  904|0| 1501|0| 2206|0| 1899|0| 1203|0| 2722|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 2392|0| 1181|0| 2557|0| 2817|0| 1410|0| 1493|0| 2254|0| 1674|0| 1306|0| 2505|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2967|0| 2184|0| 2150|0| 2829|0| 1761|0| 1709|0| 1579|0| 1562|0| 2526|0| 2457|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2682|0| 1917|0| 2423|0| 2704|0| 1557|0| 1501|0| 2081|0| 1856|0| 2137|0| 2656|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2985|0| 2249|0|  908|0| 2591|0| 1860|0| 2073|0| 1739|0| 2063|0| 2453|0| 1769|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   7| 2029|0| 2137|0| 1583|0| 2609|0| 2146|0| 1661|0| 2120|0| 1925|0| 2025|0| 1078|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   8| 1817|0| 1774|0| 1216|0| 2722|0| 2025|0| 1371|0| 2051|0| 2350|0| 2249|0| 2500|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   9| 2016|0| 1471|0|  653|0| 1786|0| 2431|0|  991|0| 1674|0| 2211|0| 2063|0| 2445|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  10| 1847|0| 2358|0|  796|0| 1826|0| 1865|0| 2232|0| 1397|0| 1630|0| 2241|0| 2656|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  11| 1385|0| 2323|0| 2743|0| 1683|0| 2358|0| 1583|0| 2219|0| 1956|0| 2012|0| 2445|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  12| 1501|0| 2099|0| 3058|0| 1233|0| 2215|0| 1406|0| 2198|0| 1424|0| 2164|0| 2392|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  13| 1501|0| 1406|0| 2561|0| 1258|0| 2548|0| 1640|0| 2249|0| 1497|0| 2059|0| 1960|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  14| 2124|0| 1280|0| 2621|0| 1674|0| 2306|0| 1596|0| 2176|0|  956|0| 2206|0| 2202|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  15| 2864|0| 1385|0| 2678|0| 1700|0| 2380|0| 1562|0| 1964|0| 1709|0| 2020|0| 2051|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  16| 2457|0|  943|0| 2323|0| 2150|0| 2142|0| 2384|0| 1514|0| 1812|0| 2505|0| 2306|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  17| 1887|0| 1428|0| 2154|0| 1601|0| 2224|0| 2033|0| 2189|0| 2358|0| 2561|0| 2639|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  18| 1458|0| 2621|0| 1553|0| 1636|0| 2158|0| 2168|0| 2211|0| 2310|0| 2293|0| 2860|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  19| 1929|0| 2059|0|  943|0| 1636|0| 1151|0| 2211|0| 1994|0| 1843|0| 2548|0|  908|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  20| 1717|0| 1674|0| 1778|0| 1359|0| 2012|0| 2189|0| 1640|0| 1887|0| 2241|0| 1246|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  21| 1562|0| 2137|0| 1982|0| 1424|0| 2089|0| 2046|0| 1938|0| 2068|0| 2077|0| 2898|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  22| 2414|0|  982|0| 2020|0| 1428|0| 1769|0| 1752|0| 1990|0| 2150|0| 1630|0| 2439|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  23| 2358|0| 1371|0| 2392|0| 1791|0| 1921|0| 1008|0| 1402|0| 2405|0| 2275|0| 2232|0|
