   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: QUELIMANE

   Coordinates:

   Latitude =17DEG53'S

   Longitude =36DEG53'E

   Elevation = 6

   WMO Identifier: 67283

   Year 2004

   +------------------------------------+
   |         DATE |         DEC |     F |
   |--------------+-------------+-------|
   |            1 |           - |     2 |
   |--------------+-------------+-------|
   |            2 |           - |     2 |
   |--------------+-------------+-------|
   |            3 |           - |     2 |
   |--------------+-------------+-------|
   |            4 |           - |     2 |
   |--------------+-------------+-------|
   |            5 |        1394 |     0 |
   |--------------+-------------+-------|
   |            6 |           - |     2 |
   |--------------+-------------+-------|
   |            7 |        1084 |     0 |
   |--------------+-------------+-------|
   |            8 |        1654 |     0 |
   |--------------+-------------+-------|
   |            9 |        1164 |     0 |
   |--------------+-------------+-------|
   |           10 |           - |     2 |
   |--------------+-------------+-------|
   |           11 |           - |     2 |
   |--------------+-------------+-------|
   |           12 |        1557 |     0 |
   |--------------+-------------+-------|
   |           13 |        1901 |     0 |
   |--------------+-------------+-------|
   |           14 |        2324 |     0 |
   |--------------+-------------+-------|
   |           15 |        1892 |     0 |
   |--------------+-------------+-------|
   |           16 |        1377 |     0 |
   |--------------+-------------+-------|
   |           17 |        1557 |     0 |
   |--------------+-------------+-------|
   |           18 |           - |     2 |
   |--------------+-------------+-------|
   |           19 |        2068 |     0 |
   |--------------+-------------+-------|
   |           20 |        2031 |     0 |
   |--------------+-------------+-------|
   |           21 |        2851 |     0 |
   |--------------+-------------+-------|
   |           22 |        2349 |     0 |
   |--------------+-------------+-------|
   |           23 |        2106 |     0 |
   |--------------+-------------+-------|
   |           24 |        1880 |     0 |
   |--------------+-------------+-------|
   |           25 |        1005 |     0 |
   |--------------+-------------+-------|
   |           26 |        1897 |     0 |
   |--------------+-------------+-------|
   |           27 |        2139 |     0 |
   |--------------+-------------+-------|
   |           28 |        2336 |     0 |
   |--------------+-------------+-------|
   |           29 |        2462 |     0 |
   |--------------+-------------+-------|
   |           30 |        1570 |     0 |
   |--------------+-------------+-------|
   |           31 |           - |     2 |
   |--------------+-------------+-------|
   |          SUM |       57206 |     1 |
   |--------------+-------------+-------|
   |         MEAN |        1845 |     1 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
