   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ANGOLA

   Station: DUNDO

   Coordinates:

   Latitude =7DEG24'S

   Longitude =20DEG49'E

   Elevation = 775

   WMO Identifier: 66152

   Year 1985

   +---------------------------------------------------------+
   |        DATE |         JUL |     F |         AUG |     F |
   |-------------+-------------+-------+-------------+-------|
   |           1 |           - |     2 |        1692 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           2 |           - |     2 |        1686 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           3 |        1680 |     0 |        1693 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           4 |        1539 |     0 |        1440 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           5 |        1111 |     0 |        1328 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           6 |         646 |     0 |        1461 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           7 |        1359 |     0 |        1431 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           8 |        1108 |     0 |        1514 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           9 |        1612 |     0 |        1434 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          10 |        1546 |     0 |        1606 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          11 |        1671 |     0 |        1959 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          12 |        1621 |     0 |        1702 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          13 |        1640 |     0 |        1682 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          14 |        1582 |     0 |        1498 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          15 |        1540 |     0 |        1426 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          16 |        1388 |     0 |        1501 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          17 |        1472 |     0 |        1586 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          18 |        1629 |     0 |        1737 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          19 |        1770 |     0 |        1228 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          20 |        1792 |     0 |        1522 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          21 |           - |     2 |        1733 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          22 |        1802 |     0 |        1591 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          23 |        1344 |     0 |        1879 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          24 |        1691 |     0 |        1599 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          25 |        1683 |     0 |        1419 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          26 |        1748 |     0 |        1561 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          27 |        1628 |     0 |        1310 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          28 |        1530 |     0 |        1991 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          29 |        1641 |     0 |        2078 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          30 |        1841 |     0 |        1569 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          31 |        1729 |     0 |        1716 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |         SUM |       47987 |     0 |       49572 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |        MEAN |        1548 |     0 |        1599 |     0 |
   +---------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
