   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: INHAMBANE

   Coordinates:

   Latitude =23DEG52'S

   Longitude =35DEG23'E

   Elevation = 14

   WMO Identifier: 67323

   Year 1978

   +--------------------------------------------------------+
   |        DATE |         APR |     F |         MAY |    F |
   |-------------+-------------+-------+-------------+------|
   |           1 |           - |     2 |        1929 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           2 |           - |     2 |         965 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           3 |           - |     2 |        1808 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           4 |           - |     2 |        1860 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           5 |           - |     2 |        1856 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           6 |           - |     2 |        1747 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           7 |           - |     2 |        1687 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           8 |           - |     2 |        1774 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           9 |           - |     2 |        1709 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          10 |           - |     2 |        1696 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          11 |           - |     2 |        1696 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          12 |           - |     2 |        1727 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          13 |           - |     2 |        1683 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          14 |           - |     2 |        1523 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          15 |           - |     2 |        1497 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          16 |           - |     2 |        1038 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          17 |           - |     2 |        1328 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          18 |           - |     2 |        1731 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          19 |        1982 |     0 |        1717 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          20 |        1816 |     0 |        1804 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          21 |         623 |     0 |        1674 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          22 |        1428 |     0 |        1557 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          23 |        1709 |     0 |        1142 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          24 |        1895 |     0 |        1294 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          25 |        1907 |     0 |        1258 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          26 |        1519 |     0 |        1505 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          27 |        1535 |     0 |        1575 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          28 |        1497 |     0 |        1661 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          29 |        1276 |     0 |        1549 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          30 |           - |     2 |        1674 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          31 |           - |     - |        1757 |    0 |
   |-------------+-------------+-------+-------------+------|
   |         SUM |           - |     2 |       49421 |    0 |
   |-------------+-------------+-------+-------------+------|
   |        MEAN |           - |     2 |        1594 |    0 |
   +--------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
