   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: INHAMBANE

   Coordinates:

   Latitude =23DEG52'S

   Longitude =35DEG23'E

   Elevation = 14

   WMO Identifier: 67323

   Year 2006

+--------------------------------------------------------------------------------+
|DATE|  FEB|F|  MAR|F|APR|F|  MAY|F|  JUN|F|JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   1|    -|2|  795|0|  -|-| 1298|0|    -|2|  -|-| 1687|0| 1557|0| 2445|0| 2265|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   2|    -|2| 1784|0|  -|-|  804|0| 1440|0|  -|-|  729|0| 1825|0| 1968|0| 2751|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   3| 1934|0| 1172|0|  -|-| 1017|0|  996|0|  -|-| 1775|0| 1838|0|  787|0| 2692|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   4|    -|2|  582|0|  -|-| 1624|0| 1373|0|  -|-| 1671|0| 1499|0| 1788|0| 2604|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2357|0| 1030|0|  -|-| 1633|0|  938|0|  -|-| 1616|0| 1482|0| 1666|0| 2399|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2546|0|  950|0|  -|-| 1754|0| 1101|0|  -|-| 1549|0| 1922|0| 2449|0|  963|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   7| 1223|0| 2110|0|  -|-|  691|0| 1101|0|  -|-| 1796|0| 1047|0| 2763|0| 2960|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   8| 1160|0| 2479|0|  -|-| 1428|0| 1110|0|  -|-| 1834|0| 1470|0| 2202|0| 2638|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|   9| 2839|0| 1440|0|  -|-| 1411|0| 1348|0|  -|-| 1809|0| 1972|0| 1616|0| 2696|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  10| 2776|0| 1926|0|  -|-|  879|0|  963|0|  -|-| 1486|0| 1897|0| 2826|0| 2931|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  11|    -|2| 2441|0|  -|-| 1419|0| 1403|0|  -|-| 1800|0| 2349|0| 2319|0| 2763|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  12|    -|2| 2537|0|  -|-| 1541|0| 1470|0|  -|-| 1871|0| 2345|0| 2462|0| 2445|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  13|    -|2| 2700|0|  -|-| 1105|0| 1520|0|  -|-| 1101|0| 1859|0| 2889|0| 2173|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  14| 2537|0| 2232|0|  -|-| 1537|0| 1327|0|  -|-| 2252|0| 1913|0| 2805|0| 1520|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  15| 2458|0| 1553|0|  -|-| 1767|0| 1340|0|  -|-| 1691|0| 2056|0| 2751|0| 2541|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  16| 2056|0| 2353|0|  -|-| 1369|0| 1344|0|  -|-| 1369|0| 2031|0| 2705|0| 2554|0|
|----+-----+-+-----+-+---+-+-----+-+-----+-+---+-+-----+-+-----+-+-----+-+-----+-|
|  17|  289|0| 1993|0|  -|-| 1683|0|  590|0|  -|-| 1310|0| 1624|0| 2629|0| 2642|0|
