   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MANIQUENIQUE

   Coordinates:

   Latitude =24DEG46'S

   Longitude =33DEG32'E

   Elevation = 13

   WMO Identifier: No WMO index

   Year 1997

   +--------------------------------------------------------+
   |        DATE |         JAN |     F |         FEB |    F |
   |-------------+-------------+-------+-------------+------|
   |           1 |        2445 |     0 |        1700 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           2 |         946 |     0 |        1834 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           3 |        1792 |     0 |        2495 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           4 |        1851 |     0 |        2474 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           5 |        2525 |     0 |        1269 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           6 |        2587 |     0 |        2227 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           7 |        2818 |     0 |        2370 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           8 |        2780 |     0 |        1938 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           9 |        2516 |     0 |        2227 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          10 |         938 |     0 |        2198 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          11 |        1319 |     0 |        2466 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          12 |        1168 |     0 |        2219 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          13 |        2060 |     0 |        2186 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          14 |         921 |     0 |        1336 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          15 |        2278 |     0 |        2047 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          16 |        2232 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          17 |        2525 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          18 |        2562 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          19 |        2730 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          20 |        2374 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          21 |        2286 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          22 |        2123 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          23 |         996 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          24 |        1934 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          25 |        2382 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          26 |        2629 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          27 |        2307 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          28 |        1130 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |          29 |        2089 |     0 |           - |    - |
   |-------------+-------------+-------+-------------+------|
   |          30 |        2772 |     0 |           - |    - |
   |-------------+-------------+-------+-------------+------|
   |          31 |        2550 |     0 |           - |    - |
   |-------------+-------------+-------+-------------+------|
   |         SUM |       64565 |     0 |           - |    2 |
   |-------------+-------------+-------+-------------+------|
   |        MEAN |        2083 |     0 |           - |    2 |
   +--------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
