   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: TETE

   Coordinates:

   Latitude =16DEG11'S

   Longitude =33DEG35'E

   Elevation = 154

   WMO Identifier: 67261

   Year 1999

   +--------------------------------------------------------------------------+
   |DATE|  FEB|F|  MAR|F|APR|F|MAY|F|JUN|F|JUL|F|  AUG|F|SEP|F|  OCT|F|  NOV|F|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   1| 1767|0| 2474|0|  -|-|  -|-|  -|-|  -|-| 1403|0|  -|-| 1691|0| 2244|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   2| 1172|0| 2202|0|  -|-|  -|-|  -|-|  -|-| 1503|0|  -|-| 2252|0| 1934|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   3| 1805|0| 2700|0|  -|-|  -|-|  -|-|  -|-| 1884|0|  -|-| 2018|0| 2286|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   4| 2081|0| 2437|0|  -|-|  -|-|  -|-|  -|-| 1679|0|  -|-| 2014|0| 2307|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   5| 1951|0| 2282|0|  -|-|  -|-|  -|-|  -|-| 1838|0|  -|-| 1754|0| 2257|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   6| 1980|0| 2010|0|  -|-|  -|-|  -|-|  -|-| 1591|0|  -|-| 1524|0| 1608|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   7| 2139|0| 2248|0|  -|-|  -|-|  -|-|  -|-| 1377|0|  -|-|  955|0| 1951|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   8| 2169|0| 1708|0|  -|-|  -|-|  -|-|  -|-| 1901|0|  -|-| 2433|0| 2345|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |   9| 2227|0| 2416|0|  -|-|  -|-|  -|-|  -|-| 1913|0|  -|-| 2018|0| 2152|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  10| 1545|0| 2552|0|  -|-|  -|-|  -|-|  -|-| 1980|0|  -|-| 2324|0| 1788|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  11| 2788|0| 1909|0|  -|-|  -|-|  -|-|  -|-| 1901|0|  -|-| 2098|0| 1989|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  12| 1909|0| 2525|0|  -|-|  -|-|  -|-|  -|-| 1365|0|  -|-| 1918|0| 1344|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  13| 2747|0| 1830|0|  -|-|  -|-|  -|-|  -|-| 1913|0|  -|-| 2198|0| 2332|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  14| 2319|0| 2240|0|  -|-|  -|-|  -|-|  -|-| 1959|0|  -|-| 1913|0| 2177|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  15| 1520|0| 1700|0|  -|-|  -|-|  -|-|  -|-| 2056|0|  -|-| 2437|0| 2240|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  16| 1922|0| 2315|0|  -|-|  -|-|  -|-|  -|-| 1352|0|  -|-| 2148|0| 2319|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  17| 1708|0| 2592|0|  -|-|  -|-|  -|-|  -|-| 1658|0|  -|-| 1474|0| 2412|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  18| 2085|0| 2558|0|  -|-|  -|-|  -|-|  -|-| 1578|0|  -|-| 1938|0| 2424|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  19| 2240|0| 2102|0|  -|-|  -|-|  -|-|  -|-| 1763|0|  -|-| 2110|0| 2081|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  20| 1043|0| 2391|0|  -|-|  -|-|  -|-|  -|-| 1227|0|  -|-| 1980|0| 1227|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  21| 2441|0| 2294|0|  -|-|  -|-|  -|-|  -|-| 1955|0|  -|-| 2194|0| 1578|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  22| 2257|0| 2089|0|  -|-|  -|-|  -|-|  -|-| 2085|0|  -|-| 2131|0| 1021|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  23| 1549|0| 2089|0|  -|-|  -|-|  -|-|  -|-| 2127|0|  -|-| 1850|0| 1478|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  24| 1377|0| 1453|0|  -|-|  -|-|  -|-|  -|-|  611|0|  -|-| 1834|0| 1624|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  25| 1796|0| 1746|0|  -|-|  -|-|  -|-|  -|-| 1482|0|  -|-| 1746|0| 2479|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  26| 2349|0| 1206|0|  -|-|  -|-|  -|-|  -|-| 1482|0|  -|-| 1700|0| 2504|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  27| 1034|0| 1357|0|  -|-|  -|-|  -|-|  -|-| 1813|0|  -|-| 1989|0| 2504|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  28| 1361|0| 1197|0|  -|-|  -|-|  -|-|  -|-| 1997|0|  -|-| 1306|0| 2466|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  29|    -|-| 1340|0|  -|-|  -|-|  -|-|  -|-| 1989|0|  -|-|  758|0| 2257|0|
   |----+-----+-+-----+-+---+-+---+-+---+-+---+-+-----+-+---+-+-----+-+-----+-|
   |  30|    -|-| 1260|0|  -|-|  -|-|  -|-|  -|-| 1926|0|  -|-| 2035|0| 2290|0|
