   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: TETE

   Coordinates:

   Latitude =16DEG11'S

   Longitude =33DEG35'E

   Elevation = 154

   WMO Identifier: 67261

   Year 1993

   +------------------------------------------------------------------------+
   | DATE|   MAY|F|   JUN|F|   JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    1|  1168|0|  1599|0|  1675|0| 1758|0| 1738|0| 1306|0| 2407|0| 1511|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    2|  2031|0|  1223|0|  1453|0| 1863|0| 2160|0| 2223|0| 2629|0| 2692|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    3|  1901|0|  1729|0|  1189|0| 1616|0| 1319|0| 2135|0| 2600|0| 2847|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    4|  1989|0|  1516|0|  1336|0| 1763|0| 2060|0| 2219|0| 2474|0| 2525|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    5|  1897|0|   703|0|  1277|0| 1800|0| 2068|0| 1528|0| 2395|0| 2730|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    6|  1742|0|  1269|0|  1549|0| 1767|0| 2047|0| 1980|0| 1771|0| 2525|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    7|  1955|0|  1805|0|  1788|0| 1775|0| 2152|0| 1909|0|  971|0| 2663|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    8|  1989|0|  1738|0|  1549|0| 1805|0| 2110|0| 1700|0| 1905|0| 2671|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    9|  1985|0|  1784|0|  1444|0| 1717|0| 1327|0| 2093|0| 2608|0| 2654|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   10|  1955|0|  1675|0|  1424|0| 1771|0| 1922|0| 2215|0| 2587|0| 2675|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   11|  1888|0|  1553|0|  1758|0| 1842|0| 1922|0| 2198|0| 2512|0| 2148|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   12|  1876|0|  1758|0|  1679|0| 1813|0| 1432|0| 2232|0| 1909|0| 2252|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   13|  1805|0|  1758|0|  1369|0| 1243|0| 1599|0| 2135|0| 2148|0| 1683|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   14|  1897|0|  1696|0|  1708|0| 1671|0| 1968|0| 2257|0|  678|0| 2332|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   15|  1888|0|  1712|0|  1771|0| 1386|0| 2165|0| 2135|0| 1126|0| 2948|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   16|  1943|0|  1805|0|  1495|0| 1491|0| 2022|0| 2282|0| 2847|0| 2734|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   17|  1934|0|  1754|0|  1612|0| 1993|0| 2257|0| 2407|0| 2730|0| 2793|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   18|  1541|0|  1729|0|  1486|0| 1930|0| 2160|0| 2273|0| 2671|0| 2407|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   19|  1892|0|  1700|0|  1880|0| 1989|0| 1989|0| 2081|0| 2663|0| 1985|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   20|  1926|0|  1683|0|  1742|0| 1968|0| 2114|0| 2215|0| 2629|0| 1721|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   21|  1825|0|  1708|0|  1855|0| 1951|0| 1968|0| 2093|0| 2788|0| 2060|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   22|  1901|0|  1424|0|  1382|0| 1750|0| 1813|0| 2278|0| 2721|0| 2600|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   23|  1930|0|  1767|0|  1461|0|  586|0| 1805|0| 2240|0| 2705|0| 2433|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   24|  1955|0|  1742|0|  1562|0| 1545|0| 1679|0| 2232|0| 1922|0| 2571|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   25|  1964|0|   921|0|  1415|0| 1210|0| 1842|0| 2135|0| 2269|0| 2759|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   26|  1938|0|  1156|0|  1943|0| 1248|0| 1997|0| 2005|0| 2642|0| 2424|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   27|  1943|0|  1126|0|  1658|0| 1063|0| 1788|0| 2437|0| 2592|0| 2160|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   28|  1926|0|  1620|0|  1771|0| 1428|0| 1938|0| 1675|0| 2474|0| 2206|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   29|  1897|0|  1398|0|  1717|0| 1750|0| 1938|0| 2449|0| 1482|0| 2864|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   30|  1934|0|  1583|0|  1382|0| 1855|0| 1842|0| 2533|0| 2236|0| 2709|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   31|  1888|0|     -|-|  1645|0| 2026|0|    -|-| 2474|0|    -|-| 2989|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  SUM| 58303|0| 46634|0| 48975|0|51373|0|57141|0|66074|0|68091|0|76271|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   | MEAN|  1881|0|  1554|0|  1580|0| 1657|0| 1905|0| 2131|0| 2270|0| 2460|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
