   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAMBIA

   Station: LIVINGSTONE

   Coordinates:

   Latitude =17DEG49'S

   Longitude =25DEG49'E

   Elevation = 986

   WMO Identifier: 67743

   Year 1987

   +------------------------------------------------------------------------+
   |       DATE |        OCT |    F |        NOV |    F |        DEC |    F |
   |------------+------------+------+------------+------+------------+------|
   |          1 |       2529 |    0 |       2707 |    0 |       1894 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          2 |       2196 |    0 |       2279 |    0 |       1539 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          3 |       2485 |    0 |       2469 |    0 |       1589 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          4 |       1063 |    0 |       2536 |    0 |       2242 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          5 |       2498 |    0 |       2243 |    0 |       1681 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          6 |       2518 |    0 |        816 |    0 |        872 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          7 |       2488 |    0 |       2260 |    0 |       2106 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          8 |       2514 |    0 |       2178 |    0 |       1718 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          9 |       2404 |    0 |       2672 |    0 |       2151 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         10 |       1094 |    0 |       2780 |    0 |       1163 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         11 |       2531 |    0 |          - |    2 |       1414 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         12 |       2251 |    0 |       2752 |    0 |       1297 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         13 |       1976 |    0 |          - |    2 |       2056 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         14 |          - |    2 |       2295 |    0 |       1864 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         15 |       2272 |    0 |       2564 |    0 |        770 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         16 |       1816 |    0 |       2643 |    0 |       1454 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         17 |       2427 |    0 |       2776 |    0 |       1691 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         18 |       2653 |    0 |       2253 |    0 |       2260 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         19 |       2686 |    0 |       2708 |    0 |       1643 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         20 |       2390 |    0 |       2326 |    0 |       1471 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         21 |       2470 |    0 |       1538 |    0 |       2070 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         22 |       2448 |    0 |       1820 |    0 |       2173 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         23 |       2644 |    0 |       2560 |    0 |       1982 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         24 |       2518 |    0 |       1948 |    0 |       2307 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         25 |       2633 |    0 |       1902 |    0 |       2485 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         26 |       2105 |    0 |       2260 |    0 |       1818 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         27 |       2124 |    0 |        873 |    0 |        724 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         28 |       1783 |    0 |       1244 |    0 |       1991 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         29 |       2578 |    0 |       1600 |    0 |       2207 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         30 |       2709 |    0 |       2163 |    0 |       1864 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         31 |       2785 |    0 |          - |    - |       2571 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |        SUM |      71908 |    0 |      65534 |    0 |      55067 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |       MEAN |       2320 |    0 |       2184 |    0 |       1776 |    0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
