   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ANGOLA

   Station: LUANDA

   Coordinates:

   Latitude =8DEG51'S

   Longitude =13DEG14'E

   Elevation = 74

   WMO Identifier: 66160

   Year 1974

   +------------------------------------+
   |         DATE |         JAN |     F |
   |--------------+-------------+-------|
   |            1 |        2160 |     0 |
   |--------------+-------------+-------|
   |            2 |        1562 |     0 |
   |--------------+-------------+-------|
   |            3 |         452 |     0 |
   |--------------+-------------+-------|
   |            4 |         787 |     0 |
   |--------------+-------------+-------|
   |            5 |        2098 |     0 |
   |--------------+-------------+-------|
   |            6 |        2219 |     0 |
   |--------------+-------------+-------|
   |            7 |        2215 |     0 |
   |--------------+-------------+-------|
   |            8 |        2119 |     0 |
   |--------------+-------------+-------|
   |            9 |        2349 |     0 |
   |--------------+-------------+-------|
   |           10 |        1817 |     0 |
   |--------------+-------------+-------|
   |           11 |        2114 |     0 |
   |--------------+-------------+-------|
   |           12 |        1612 |     0 |
   |--------------+-------------+-------|
   |           13 |        2303 |     0 |
   |--------------+-------------+-------|
   |           14 |        2516 |     0 |
   |--------------+-------------+-------|
   |           15 |        2458 |     0 |
   |--------------+-------------+-------|
   |           16 |        1691 |     0 |
   |--------------+-------------+-------|
   |           17 |        1398 |     0 |
   |--------------+-------------+-------|
   |           18 |        1633 |     0 |
   |--------------+-------------+-------|
   |           19 |        2445 |     0 |
   |--------------+-------------+-------|
   |           20 |        2378 |     0 |
   |--------------+-------------+-------|
   |           21 |        2056 |     0 |
   |--------------+-------------+-------|
   |           22 |        2386 |     0 |
   |--------------+-------------+-------|
   |           23 |        2043 |     0 |
   |--------------+-------------+-------|
   |           24 |        2357 |     0 |
   |--------------+-------------+-------|
   |           25 |        2403 |     0 |
   |--------------+-------------+-------|
   |           26 |        1997 |     0 |
   |--------------+-------------+-------|
   |           27 |        2043 |     0 |
   |--------------+-------------+-------|
   |           28 |        2479 |     0 |
   |--------------+-------------+-------|
   |           29 |        2445 |     0 |
   |--------------+-------------+-------|
   |           30 |        2428 |     0 |
   |--------------+-------------+-------|
   |           31 |        2349 |     0 |
   |--------------+-------------+-------|
   |          SUM |       63312 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        2042 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
