   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ANGOLA

   Station: NOVA LISBOA / CHIANGA

   Coordinates:

   Latitude =12DEG44'S

   Longitude =15DEG50'E

   Elevation = 1700

   WMO Identifier: No WMO index

   Year 1974

   +------------------------------------+
   |         DATE |         JAN |     F |
   |--------------+-------------+-------|
   |            1 |        1905 |     0 |
   |--------------+-------------+-------|
   |            2 |        1373 |     0 |
   |--------------+-------------+-------|
   |            3 |        2583 |     0 |
   |--------------+-------------+-------|
   |            4 |        2839 |     0 |
   |--------------+-------------+-------|
   |            5 |        2814 |     0 |
   |--------------+-------------+-------|
   |            6 |        2500 |     0 |
   |--------------+-------------+-------|
   |            7 |        2345 |     0 |
   |--------------+-------------+-------|
   |            8 |        2428 |     0 |
   |--------------+-------------+-------|
   |            9 |        1905 |     0 |
   |--------------+-------------+-------|
   |           10 |        2278 |     0 |
   |--------------+-------------+-------|
   |           11 |        2680 |     0 |
   |--------------+-------------+-------|
   |           12 |        2315 |     0 |
   |--------------+-------------+-------|
   |           13 |        2047 |     0 |
   |--------------+-------------+-------|
   |           14 |        2788 |     0 |
   |--------------+-------------+-------|
   |           15 |        2826 |     0 |
   |--------------+-------------+-------|
   |           16 |        1612 |     0 |
   |--------------+-------------+-------|
   |           17 |        2047 |     0 |
   |--------------+-------------+-------|
   |           18 |        1260 |     0 |
   |--------------+-------------+-------|
   |           19 |        1398 |     0 |
   |--------------+-------------+-------|
   |           20 |        2391 |     0 |
   |--------------+-------------+-------|
   |           21 |        2374 |     0 |
   |--------------+-------------+-------|
   |           22 |        2654 |     0 |
   |--------------+-------------+-------|
   |           23 |        1863 |     0 |
   |--------------+-------------+-------|
   |           24 |        2671 |     0 |
   |--------------+-------------+-------|
   |           25 |        2001 |     0 |
   |--------------+-------------+-------|
   |           26 |        1595 |     0 |
   |--------------+-------------+-------|
   |           27 |        2085 |     0 |
   |--------------+-------------+-------|
   |           28 |        2659 |     0 |
   |--------------+-------------+-------|
   |           29 |        2177 |     0 |
   |--------------+-------------+-------|
   |           30 |        2299 |     0 |
   |--------------+-------------+-------|
   |           31 |        2139 |     0 |
   |--------------+-------------+-------|
   |          SUM |       68851 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        2221 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
