   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: KENYA

   Station: MALINDI

   Coordinates:

   Latitude =3DEG14'S

   Longitude =40DEG06'E

   Elevation = 20

   WMO Identifier: 63799

   Year 1989

   +------------------------------------------------------------------------+
   | DATE|   MAR|F| APR|F| MAY|F| JUN|F| JUL|F|AUG|F|  SEP|F|  OCT|F|  NOV|F|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    1|  2075|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2251|0| 1887|0| 2284|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    2|  2178|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1998|0| 1917|0| 2409|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    3|  1618|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2122|0| 2431|0| 2456|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    4|  1938|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1870|0| 2259|0| 2328|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    5|  2247|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1746|0| 1207|0| 2067|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    6|  2285|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2546|0| 1720|0|  929|1|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    7|  2409|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2341|0| 2341|0| 2362|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    8|  2354|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1733|0| 2328|0| 2319|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |    9|  2276|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2362|0| 2341|0| 2067|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   10|  2341|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2225|0| 1284|0| 2422|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   11|  2251|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2208|0| 1198|0| 1493|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   12|  2379|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2341|0| 1669|0| 2409|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   13|  2341|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1630|0| 1656|0| 2170|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   14|  2354|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2178|0| 1609|0| 1986|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   15|  2341|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2550|0| 1806|0| 2388|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   16|  2375|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2546|0| 2092|0| 2319|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   17|  1767|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1780|0| 2101|0| 1147|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   18|  2135|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2088|0| 1956|0| 2272|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   19|  2259|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2225|0| 1861|0| 2319|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   20|  1973|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2315|0| 2229|0| 2217|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   21|  2259|0|   -|-|   -|-|   -|-|   -|-|  -|-| 1814|0| 2251|0| 2388|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   22|  2478|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2135|0| 2396|0| 1998|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   23|  2456|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2054|0| 2358|0| 2388|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   24|  2191|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2315|0| 2311|0| 2465|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   25|  2354|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2088|0| 2058|0| 1857|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   26|  2178|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2259|0| 2187|0| 2285|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   27|  2238|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2396|0| 1630|0| 2208|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   28|  2375|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2067|0| 1284|0| 1630|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   29|  1973|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2101|0| 1412|0| 1630|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   30|  2217|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2341|0| 1374|0| 2559|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |   31|  2315|0|   -|-|   -|-|   -|-|   -|-|  -|-|    -|-| 2101|0|    -|-|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   |  SUM| 68930|0|   -|-|   -|-|   -|-|   -|-|  -|-|64625|0|59254|0|63771|0|
   |-----+------+-+----+-+----+-+----+-+----+-+---+-+-----+-+-----+-+-----+-|
   | MEAN|  2224|0|   -|-|   -|-|   -|-|   -|-|  -|-| 2154|0| 1911|0| 2126|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
