   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BOBOLE

   Coordinates:

   Latitude =25DEG37'S

   Longitude =32DEG40'E

   Elevation = 30

   WMO Identifier: No WMO index

   Year 1972

   +------------------------------------+
   |         DATE |         DEC |     F |
   |--------------+-------------+-------|
   |            1 |        2574 |     0 |
   |--------------+-------------+-------|
   |            2 |        2821 |     0 |
   |--------------+-------------+-------|
   |            3 |        2552 |     0 |
   |--------------+-------------+-------|
   |            4 |        2829 |     0 |
   |--------------+-------------+-------|
   |            5 |        2933 |     0 |
   |--------------+-------------+-------|
   |            6 |        2665 |     0 |
   |--------------+-------------+-------|
   |            7 |        2890 |     0 |
   |--------------+-------------+-------|
   |            8 |        2933 |     0 |
   |--------------+-------------+-------|
   |            9 |        2427 |     0 |
   |--------------+-------------+-------|
   |           10 |        2518 |     0 |
   |--------------+-------------+-------|
   |           11 |        2046 |     0 |
   |--------------+-------------+-------|
   |           12 |        1276 |     0 |
   |--------------+-------------+-------|
   |           13 |        2821 |     0 |
   |--------------+-------------+-------|
   |           14 |        2449 |     0 |
   |--------------+-------------+-------|
   |           15 |        2716 |     0 |
   |--------------+-------------+-------|
   |           16 |        2639 |     0 |
   |--------------+-------------+-------|
   |           17 |         649 |     0 |
   |--------------+-------------+-------|
   |           18 |        1276 |     0 |
   |--------------+-------------+-------|
   |           19 |        1822 |     0 |
   |--------------+-------------+-------|
   |           20 |        2678 |     0 |
   |--------------+-------------+-------|
   |           21 |        3011 |     0 |
   |--------------+-------------+-------|
   |           22 |        1990 |     0 |
   |--------------+-------------+-------|
   |           23 |         809 |     0 |
   |--------------+-------------+-------|
   |           24 |        1622 |     0 |
   |--------------+-------------+-------|
   |           25 |        2933 |     0 |
   |--------------+-------------+-------|
   |           26 |        2587 |     0 |
   |--------------+-------------+-------|
   |           27 |        3067 |     0 |
   |--------------+-------------+-------|
   |           28 |        3033 |     0 |
   |--------------+-------------+-------|
   |           29 |        2955 |     0 |
   |--------------+-------------+-------|
   |           30 |        2384 |     0 |
   |--------------+-------------+-------|
   |           31 |        2115 |     0 |
   |--------------+-------------+-------|
   |          SUM |       74020 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        2388 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
