   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: TETE

   Coordinates:

   Latitude =16DEG11'S

   Longitude =33DEG35'E

   Elevation = 154

   WMO Identifier: 67261

   Year 1985

   +--------------------------------------------------------------------------+
   |DATE| APR|F| MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   1|   -|2|1980|0| 1578|0| 1645|0| 1901|0| 1972|0| 2102|0| 2797|0| 2864|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   2|   -|2|1913|0| 1704|0| 1101|0| 1993|0| 2261|0| 2068|0| 2705|0| 2261|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   3|   -|2|1382|0| 1826|0| 1311|0| 1851|0| 1909|0| 1558|0| 2726|0| 1926|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   4|   -|2|2052|0| 1784|0| 1545|0| 1625|0| 2596|0| 1960|0| 2897|0| 2357|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   5|   -|2|1905|0| 1800|0| 1373|0| 1151|0| 2625|0| 2156|0| 3006|0| 2466|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   6|   -|2|1926|0|  950|0| 1754|0| 1767|0| 2160|0| 2064|0| 3111|0| 1775|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   7|   -|2|1800|0| 1800|0| 1491|0| 1909|0| 2290|0| 2114|0| 3103|0| 1323|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   8|   -|2|1934|0| 1708|0| 1675|0| 1855|0| 2089|0| 2315|0| 3086|0| 1419|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   9|   -|2|1897|0| 1800|0| 1759|0| 1788|0| 1876|0|  925|0| 2575|0| 2064|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  10|   -|2|2165|0| 1830|0| 1738|0| 1855|0| 2567|0|  762|0| 2240|0| 2625|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  11|   -|2|   -|2| 1926|0| 1516|0| 1750|0| 2617|0| 1746|0|  762|0| 2688|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  12|   -|2|   -|2| 1830|0| 1930|0| 1599|0| 2537|0| 1813|0| 1311|0| 1830|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  13|   -|2|   -|2| 1738|0| 1587|0| 1980|0| 2537|0| 2462|0| 2345|0| 1964|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  14|   -|2|   -|2| 1733|0| 1897|0| 1976|0| 2236|0| 2508|0| 2479|0| 2035|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  15|   -|2|   -|2| 1532|0| 1851|0| 1821|0| 2349|0| 2181|0| 2914|0| 2458|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  16|2064|0|   -|2| 1625|0| 1285|0| 1382|0| 2173|0| 2378|0| 2789|0| 2248|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  17|2114|0|   -|2| 1704|0| 1394|0| 2056|0| 1834|0| 2106|0| 2897|0| 2098|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  18|2274|0|   -|2| 1721|0|  971|0| 1227|0| 1775|0| 2324|0| 1897|0| 1357|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  19|2060|0|   -|2| 1683|0| 1239|0| 1679|0| 1859|0| 2416|0|  976|0| 1901|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  20|2290|0|   -|2| 1767|0| 1687|0| 2043|0| 2533|0| 2638|0| 2445|0| 2433|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  21|2215|0|   -|2| 1461|0| 1800|0| 1633|0| 2479|0| 2772|0| 3195|0| 1428|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  22|2433|0|   -|2| 1541|0| 1985|0| 1692|0| 1997|0| 2663|0| 2102|0| 1478|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  23|2408|0|   -|2| 1093|0| 1788|0| 2098|0| 2257|0| 2659|0| 2734|0| 2353|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  24|2299|0|   -|2|  657|0| 1373|0| 1800|0| 2470|0| 2592|0| 2361|0| 2391|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  25|2253|0|   -|2|  921|0| 2022|0| 1976|0| 2169|0| 2675|0| 1985|0| 2374|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  26|2085|0|1512|0| 1340|0| 1943|0|  649|0| 2102|0| 2462|0| 2483|0| 1030|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  27|2232|0|1541|0| 1277|0| 1947|0| 1553|0| 2257|0| 2604|0| 2290|0| 2554|0|
   |----+----+-+----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |  28|2173|0|1855|0| 1595|0| 2047|0| 1348|0| 2412|0| 2759|0| 3287|0| 2663|0|
