   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: NAMPULA

   Coordinates:

   Latitude =15DEG06'S

   Longitude =39DEG17'E

   Elevation = 433

   WMO Identifier: 67237

   Year 1997

   +------------------------------------------------------------------------+
   |   DATE |     APR | F |     MAY | F |    JUN | F |  JUL | F |   AUG | F |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      1 |    1872 | 0 |    1616 | 0 |    448 | 7 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      2 |    1876 | 0 |    1821 | 0 |   1524 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      3 |    1729 | 0 |    2135 | 0 |   1290 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      4 |    1662 | 0 |    1972 | 0 |   1771 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      5 |    1742 | 0 |    2202 | 0 |   1800 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      6 |    1482 | 0 |    1650 | 0 |   1771 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      7 |    1189 | 0 |    1691 | 0 |   1809 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      8 |    1269 | 0 |    1528 | 0 |   1666 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |      9 |    1377 | 0 |    1608 | 0 |   1319 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     10 |    1072 | 0 |    1645 | 0 |   1784 | 0 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     11 |    1336 | 0 |    1775 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     12 |    1587 | 0 |    1938 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     13 |    1365 | 0 |    1964 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     14 |    1537 | 0 |    1968 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     15 |    2181 | 0 |    1976 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     16 |    1959 | 0 |    1951 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     17 |    1415 | 0 |    1243 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     18 |    1968 | 0 |    1738 | 0 |      - | 2 |    - | - |  2047 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     19 |    1926 | 0 |    1721 | 0 |      - | 2 |    - | - |  2064 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     20 |    1930 | 0 |    1842 | 0 |      - | 2 |    - | - |  1905 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     21 |    1772 | 0 |    1151 | 0 |      - | 2 |    - | - |  2085 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     22 |    1971 | 0 |    1583 | 0 |      - | 2 |    - | - |  2123 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     23 |    1587 | 0 |    1645 | 0 |      - | 2 |    - | - |  2047 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     24 |    1955 | 0 |    1608 | 0 |      - | 2 |    - | - |  1888 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     25 |     419 | 0 |    1712 | 0 |      - | 2 |    - | - |  2119 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     26 |    2022 | 0 |    1704 | 0 |      - | 2 |    - | - |  2026 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     27 |    1955 | 0 |    1670 | 0 |      - | 2 |    - | - |  1855 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     28 |    2127 | 0 |    1968 | 0 |      - | 2 |    - | - |  2022 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     29 |    1985 | 0 |    1583 | 0 |      - | 2 |    - | - |  1863 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     30 |    1971 | 0 |     741 | 0 |      - | 2 |    - | - |  1930 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |     31 |       - | - |    1013 | 0 |      - | - |    - | - |  1955 | 0 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |    SUM |   50238 | 0 |   52362 | 0 |      - | 2 |    - | - |     - | 2 |
   |--------+---------+---+---------+---+--------+---+------+---+-------+---|
   |   MEAN |    1675 | 0 |    1689 | 0 |      - | 2 |    - | - |     - | 2 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
