   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LUMBO

   Coordinates:

   Latitude =15DEG02'S

   Longitude =40DEG40'E

   Elevation = 15

   WMO Identifier: 67241

   Year 1988

   +--------------------------------------------------------+
   |        DATE |         APR |     F |         MAY |    F |
   |-------------+-------------+-------+-------------+------|
   |           1 |           - |     2 |        2073 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           2 |           - |     2 |        2114 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           3 |           - |     2 |         816 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           4 |           - |     2 |        1913 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           5 |           - |     2 |        1625 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           6 |           - |     2 |        1248 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           7 |           - |     2 |        2839 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           8 |           - |     2 |        1759 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           9 |           - |     2 |        2809 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          10 |           - |     2 |        2839 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          11 |           - |     2 |        2818 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          12 |           - |     2 |        2521 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          13 |           - |     2 |         766 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          14 |        1930 |     0 |        1486 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          15 |        2286 |     0 |        2160 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          16 |        2073 |     0 |        2165 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          17 |        2964 |     0 |        2102 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          18 |        3082 |     0 |        2094 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          19 |        3241 |     0 |        1943 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          20 |        3299 |     0 |        2144 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          21 |        3283 |     0 |        1972 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          22 |        3098 |     0 |        2001 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          23 |        1625 |     0 |        2148 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          24 |        1993 |     0 |        2140 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          25 |        3211 |     0 |         620 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          26 |        3249 |     0 |        1189 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          27 |        2717 |     0 |        2152 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          28 |        2047 |     0 |        2562 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          29 |        1340 |     0 |        2140 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          30 |        2106 |     0 |        2123 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          31 |           - |     - |        2081 |    0 |
   |-------------+-------------+-------+-------------+------|
   |         SUM |           - |     2 |       61362 |    0 |
   |-------------+-------------+-------+-------------+------|
   |        MEAN |           - |     2 |        1979 |    0 |
   +--------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
