   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BEIRA

   Coordinates:

   Latitude =19DEG50'S

   Longitude =34DEG51'E

   Elevation = 7

   WMO Identifier: 67297

   Year 2008

   +------------------------------------------------------------------------+
   |   DATE|     MAR|F|     APR|F|   MAY|F|   JUN|F|  JUL|F|  AUG|F|   SEP|F|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      1|    2098|0|    1712|0|     -|-|     -|-|    -|-|    -|-|  2428|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      2|    2328|0|    2060|0|     -|-|     -|-|    -|-|    -|-|  2227|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      3|    2370|0|    2160|0|     -|-|     -|-|    -|-|    -|-|  2035|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      4|    2252|0|    2311|0|     -|-|     -|-|    -|-|    -|-|  1884|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      5|    1817|0|    2022|0|     -|-|     -|-|    -|-|    -|-|  2085|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      6|    2261|0|    1771|0|     -|-|     -|-|    -|-|    -|-|  2177|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      7|    2257|0|    2131|0|     -|-|     -|-|    -|-|    -|-|  2081|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      8|    2014|0|    2060|0|     -|-|     -|-|    -|-|    -|-|  2336|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |      9|    2035|0|     896|0|     -|-|     -|-|    -|-|    -|-|  2081|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     10|    1424|0|    2127|0|     -|-|     -|-|    -|-|    -|-|  2223|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     11|    2265|0|    2077|0|     -|-|     -|-|    -|-|    -|-|   695|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     12|    2052|0|    2068|0|     -|-|     -|-|    -|-|    -|-|  2433|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     13|    2202|0|    1470|0|     -|-|     -|-|    -|-|    -|-|  2428|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     14|    2198|0|    1800|0|     -|-|     -|-|    -|-|    -|-|  2127|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     15|    2248|0|    1767|0|     -|-|     -|-|    -|-|    -|-|  2060|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     16|    2307|0|    1968|0|     -|-|     -|-|    -|-|    -|-|  2315|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     17|    2278|0|    2010|0|     -|-|     -|-|    -|-|    -|-|  2541|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     18|    2227|0|    1989|0|     -|-|     -|-|    -|-|    -|-|  2093|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     19|    2052|0|    1562|0|     -|-|     -|-|    -|-|    -|-|  1901|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     20|    1779|0|    1880|0|     -|-|     -|-|    -|-|    -|-|  1746|0|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     21|    1763|0|    1830|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     22|    1989|0|    1428|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     23|    1943|0|    1897|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     24|    1968|0|    1181|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     25|    2190|0|    1516|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     26|    1746|0|    1825|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     27|    1842|0|    1871|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     28|    2085|0|    1918|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     29|    2135|0|    1788|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     30|    1545|0|    1474|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |     31|    1918|0|       -|-|     -|-|     -|-|    -|-|    -|-|     -|-|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |    SUM|   63588|0|   54569|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   |-------+--------+-+--------+-+------+-+------+-+-----+-+-----+-+------+-|
   |   MEAN|    2051|0|    1819|0|     -|-|     -|-|    -|-|    -|-|     -|2|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
