   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: NAMPULA

   Coordinates:

   Latitude =15DEG06'S

   Longitude =39DEG17'E

   Elevation = 433

   WMO Identifier: 67237

   Year 1998

   +--------------------------------------------------------+
   |        DATE |         NOV |     F |         DEC |    F |
   |-------------+-------------+-------+-------------+------|
   |           1 |           - |     2 |        2767 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           2 |           - |     2 |        2830 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           3 |           - |     2 |        2818 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           4 |           - |     2 |        2110 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           5 |           - |     2 |        1185 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           6 |           - |     2 |        1089 |    5 |
   |-------------+-------------+-------+-------------+------|
   |           7 |           - |     2 |        2931 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           8 |           - |     2 |        2797 |    0 |
   |-------------+-------------+-------+-------------+------|
   |           9 |           - |     2 |        1507 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          10 |           - |     2 |        2315 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          11 |        2855 |     0 |        2776 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          12 |        2160 |     0 |        2927 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          13 |        2516 |     0 |        3069 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          14 |        2232 |     0 |        3132 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          15 |        2922 |     0 |        2801 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          16 |        2726 |     0 |        3077 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          17 |        3031 |     0 |        3002 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          18 |        2629 |     0 |        2943 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          19 |        2688 |     0 |        2814 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          20 |        2767 |     0 |        2395 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          21 |        2981 |     0 |        2529 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          22 |        2989 |     0 |        1951 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          23 |        2860 |     0 |        1264 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          24 |        2089 |     0 |        1859 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          25 |        1779 |     0 |        2160 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          26 |        2416 |     0 |        2968 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          27 |        2801 |     0 |        3044 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          28 |        2872 |     0 |        2780 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          29 |        2717 |     0 |        2906 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          30 |        2797 |     0 |        2659 |    0 |
   |-------------+-------------+-------+-------------+------|
   |          31 |           - |     - |        2872 |    0 |
   |-------------+-------------+-------+-------------+------|
   |         SUM |           - |     2 |       78277 |    0 |
   |-------------+-------------+-------+-------------+------|
   |        MEAN |           - |     2 |        2525 |    0 |
   +--------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
