   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAIRE

   Station: KANANGA

   Coordinates:

   Latitude =5DEG53'S

   Longitude =22DEG25'E

   Elevation = 675

   WMO Identifier: 64235

   Year 1981

   +------------------------------------+
   |         DATE |         JUL |     F |
   |--------------+-------------+-------|
   |            1 |        1433 |     0 |
   |--------------+-------------+-------|
   |            2 |        1886 |     0 |
   |--------------+-------------+-------|
   |            3 |        1609 |     0 |
   |--------------+-------------+-------|
   |            4 |        1751 |     0 |
   |--------------+-------------+-------|
   |            5 |        2011 |     0 |
   |--------------+-------------+-------|
   |            6 |        1760 |     0 |
   |--------------+-------------+-------|
   |            7 |        1743 |     0 |
   |--------------+-------------+-------|
   |            8 |        1617 |     0 |
   |--------------+-------------+-------|
   |            9 |        1123 |     0 |
   |--------------+-------------+-------|
   |           10 |         486 |     0 |
   |--------------+-------------+-------|
   |           11 |        1223 |     0 |
   |--------------+-------------+-------|
   |           12 |        1450 |     0 |
   |--------------+-------------+-------|
   |           13 |        1190 |     0 |
   |--------------+-------------+-------|
   |           14 |        1131 |     0 |
   |--------------+-------------+-------|
   |           15 |        1198 |     0 |
   |--------------+-------------+-------|
   |           16 |        1031 |     0 |
   |--------------+-------------+-------|
   |           17 |        1232 |     0 |
   |--------------+-------------+-------|
   |           18 |        2020 |     0 |
   |--------------+-------------+-------|
   |           19 |        1508 |     0 |
   |--------------+-------------+-------|
   |           20 |        1458 |     0 |
   |--------------+-------------+-------|
   |           21 |        1387 |     0 |
   |--------------+-------------+-------|
   |           22 |        1173 |     0 |
   |--------------+-------------+-------|
   |           23 |         850 |     0 |
   |--------------+-------------+-------|
   |           24 |        1270 |     0 |
   |--------------+-------------+-------|
   |           25 |        1341 |     0 |
   |--------------+-------------+-------|
   |           26 |        1031 |     0 |
   |--------------+-------------+-------|
   |           27 |        1433 |     0 |
   |--------------+-------------+-------|
   |           28 |        1232 |     0 |
   |--------------+-------------+-------|
   |           29 |         985 |     0 |
   |--------------+-------------+-------|
   |           30 |        1232 |     0 |
   |--------------+-------------+-------|
   |           31 |        1366 |     0 |
   |--------------+-------------+-------|
   |          SUM |       42160 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        1360 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
