   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: IRINGA

   Coordinates:

   Latitude =7DEG40'S

   Longitude =35DEG45'E

   Elevation = 1426

   WMO Identifier: 63887

   Year 1965

   +------------------------------------------------------------------------+
   |   DATE|     MAY|F|     JUN|F|     JUL|F|     AUG|F|     SEP|F|    OCT|F|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      1|    1896|0|    2394|0|    2457|0|    2486|0|    2319|0|   2608|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      2|    1733|0|    2470|0|    2486|0|    2210|0|    2348|0|   2713|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      3|    2110|0|    2394|0|    2507|0|    1959|0|    2533|0|   2667|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      4|    1980|0|    2394|0|    2499|0|    2281|0|    1570|0|   2575|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      5|    2327|0|    2244|0|    2403|0|    1971|0|    2524|0|   2659|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      6|    1733|0|    2470|0|    2457|0|    1997|0|    2600|0|   1846|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      7|    1800|0|    2357|0|    2348|0|    1637|0|    2759|0|   2742|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      8|    1603|0|    2260|0|    2424|0|    2319|0|    2440|0|   2742|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |      9|    2357|0|    2457|0|    2432|0|    2156|0|    2650|0|   2788|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     10|    1821|0|    2365|0|    2411|0|    2055|0|    2583|0|   2684|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     11|     933|0|    2449|0|    2260|0|    2365|0|    2457|0|   2860|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     12|    1800|0|    2365|0|    2131|0|    2357|0|    2478|0|   2742|0|
   |-------+--------+-+--------+-+--------+-+--------+-+--------+-+-------+-|
   |     13|    1800|0|    2499|0|    2147|0|    2156|0|    2457|0|   2617|0|
