   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: DAR ES SALAAMARPT

   Coordinates:

   Latitude =6DEG53'S

   Longitude =39DEG12'E

   Elevation = 55

   WMO Identifier: 63894

   Year 1967

+------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 2470|0| 2633|0| 1930|0| 1147|0| 1582|0| 1850|0| 1528|0| 2043|0| 1771|0|    -|2|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 2210|0| 1888|0| 2503|0| 1787|0| 1335|0| 1302|0| 1423|0| 2059|0| 2131|0| 1896|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 2424|0| 2089|0| 1691|0|  556|0| 1653|0|  887|0| 1440|0| 1904|0| 2172|0| 1448|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2499|0| 2281|0| 1599|0|  916|0| 1503|0| 1452|0| 1863|0| 1427|0| 1398|0|    -|2|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2118|0| 1272|0| 2206|0| 2210|0| 1080|0| 1461|0| 1687|0| 1369|0|  707|0|    -|2|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2189|0| 1741|0| 1440|0|  741|0| 1256|0| 1519|0|  782|0| 1921|0| 1419|0|    -|2|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   7| 2457|0| 1348|0| 1925|0| 2340|0| 1268|0| 1846|0| 1812|0| 1909|0| 1105|0| 2503|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   8| 2386|0|  837|0| 1704|0| 1159|0| 1293|0| 1888|0| 1549|0|    -|2| 2160|0| 2164|0|
