   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: GURUE

   Coordinates:

   Latitude =15DEG28'S

   Longitude =36DEG59'E

   Elevation = 734

   WMO Identifier: No WMO index

   Year 1970

   +------------------------------------------------------------------------+
   | DATE|   APR|F|   MAY|F|   JUN|F|   JUL|F|  AUG|F|  SEP|F|  OCT|F| NOV|F|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    1|     -|2|  1903|0|   774|0|  1431|0| 1405|0| 2271|0| 1799|0|1830|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    2|  2145|0|  1967|0|  1098|0|   467|0|  760|0| 2323|0| 1423|0|1318|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    3|  1635|0|  2037|0|  1505|0|  1743|0|  873|0| 2414|0| 1037|0|2305|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    4|   968|0|  2002|0|  1223|0|  1496|0|  713|0| 2305|0| 2699|0|2881|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    5|  1972|0|  1535|0|  1947|0|  2037|0| 1967|0| 2145|0| 2499|0|2271|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    6|  2123|0|  2106|0|  1816|0|  1963|0| 1941|0| 2357|0| 2396|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    7|  2262|0|  1704|0|  1765|0|  1890|0| 2093|0| 1890|0| 2521|0|1652|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    8|  1890|0|  1972|0|  1933|0|  1660|0| 2123|0| 2249|0| 2734|0|1739|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |    9|  1388|0|  1821|0|  1761|0|  1557|0| 1882|0| 1743|0| 2590|0|2072|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   10|  1423|0|  1972|0|  1686|0|  1860|0|  713|0| 1903|0| 2716|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   11|  1063|0|  1051|0|  1977|0|  1821|0| 1193|0| 2353|0| 2634|0|1816|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   12|  1168|0|  1021|0|  1864|0|  1492|0| 1444|0| 2457|0| 2716|0|2980|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   13|  1314|0|  1781|0|  1781|0|  1925|0| 1821|0| 1937|0| 2734|0|3049|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   14|   895|0|  1146|0|  1500|0|  1821|0| 1704|0| 2111|0| 2509|0|3158|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   15|  1128|0|  1492|0|  1112|0|   877|0| 2361|0| 2457|0| 2521|0|2625|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   16|  1306|0|  1146|0|  1202|0|   687|0| 1652|0| 1384|0| 2665|0|2319|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   17|  2119|0|  1972|0|  1474|0|   942|0| 2002|0| 2596|0| 1229|0|2824|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   18|  1211|0|  1215|0|   796|0|  1510|0| 1933|0| 2410|0|  782|0|2474|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   19|   804|0|  1423|0|  1773|0|  1518|0| 1799|0| 2491|0| 2102|0|2738|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   20|  2379|0|  1444|0|  1700|0|  1834|0| 1696|0| 1674|0| 2716|0|2115|0|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   21|  2158|0|  1215|0|  1721|0|  1830|0| 1393|0| 1868|0| 2058|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   22|  1994|0|  1648|0|   726|0|  1890|0| 1601|0| 1613|0| 3053|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   23|  1531|0|  1730|0|   830|0|  1215|0| 1029|0| 2214|0| 2942|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   24|  1427|0|  1799|0|   973|0|   683|0| 1340|0| 2145|0| 2076|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   25|  1142|0|  1799|0|  1124|0|   930|0| 1834|0| 2444|0| 2089|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   26|  1073|0|  1851|0|  1652|0|  1449|0| 1686|0| 2249|0| 1436|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   27|  2037|0|  1877|0|  1605|0|  1267|0| 2271|0| 2145|0| 2271|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   28|  1514|0|     -|2|  1544|0|  1755|0| 1959|0| 2560|0| 1977|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   29|  1933|0|  1864|0|  1409|0|  1267|0| 2309|0| 2617|0| 2127|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   30|  1765|0|  1751|0|  1643|0|   960|0| 2340|0| 2374|0|  994|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |   31|     -|-|  1730|0|     -|-|  2093|0| 2063|0|    -|-| 1063|0|   -|-|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   |  SUM| 47345|0| 51640|0| 43914|0| 45870|0|51900|0|65699|0|67108|0|   -|2|
   |-----+------+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+----+-|
   | MEAN|  1578|0|  1666|0|  1464|0|  1480|0| 1674|0| 2190|0| 2165|0|   -|2|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
