   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MADAGASCAR

   Station: ANTANANARIVO

   Coordinates:

   Latitude =18DEG54'S

   Longitude =47DEG32'E

   Elevation = 1310

   WMO Identifier: No WMO index

   Year 1988

   +---------------------------------------------------------------------------+
   |DATE|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F| NOV|F|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   1| 1901|0| 1153|0|  646|0|  171|0|  912|0|  697|0|  300|0| 2000|0|1900|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   2| 2243|0| 1377|0|  944|0|  994|0|  976|0|  336|0|  100|0| 2200|0|1300|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   3| 1692|0| 1337|0| 1083|0| 1254|0| 1102|0|  558|0|  400|0| 1000|0|1200|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   4| 1115|0| 1254|0| 1330|0| 1077|0| 1140|0|  602|0|    -|2| 2000|0| 300|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   5| 1425|0| 1108|0| 2154|0|  817|0|  811|0|  424|0|  300|0| 1000|0| 300|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   6| 1603|0| 1478|0| 1242|0|  539|0|  424|0|  336|0|  400|0| 1400|0|2200|0|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
   |   7| 1673|0| 1362|0| 1637|0|  330|0|  741|0|  551|0|  300|0|  800|0|   -|2|
   |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
