   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BEIRA

   Coordinates:

   Latitude =19DEG50'S

   Longitude =34DEG51'E

   Elevation = 7

   WMO Identifier: 67297

   Year 2001

   +---------------------------------------------------------+
   |        DATE |         AUG |     F |         SEP |     F |
   |-------------+-------------+-------+-------------+-------|
   |           1 |        1411 |     0 |        1976 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           2 |        2026 |     0 |        2131 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           3 |        1763 |     0 |        1930 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           4 |        2005 |     0 |        2035 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           5 |        1700 |     0 |        1955 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           6 |        1972 |     0 |        1750 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           7 |        1742 |     0 |         414 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           8 |        2047 |     0 |        1825 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           9 |        1871 |     0 |        1696 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          10 |        1876 |     0 |        2156 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          11 |        1997 |     0 |        2001 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          12 |        1913 |     0 |        1742 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          13 |        1918 |     0 |        1717 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          14 |        2022 |     0 |         879 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          15 |        1792 |     0 |         339 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          16 |        2043 |     0 |        1892 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          17 |        1813 |     0 |        2123 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          18 |        1830 |     0 |        2462 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          19 |        1926 |     0 |        2483 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          20 |        1993 |     0 |        2516 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          21 |        1712 |     0 |        2026 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          22 |        1943 |     0 |        1595 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          23 |        1876 |     0 |        1528 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          24 |        1926 |     0 |        2227 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          25 |        1959 |     0 |        2286 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          26 |        1855 |     0 |        2299 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          27 |        1796 |     0 |        2123 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          28 |        2177 |     0 |        1830 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          29 |        1922 |     0 |        2169 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          30 |        1880 |     0 |        2751 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          31 |        1955 |     0 |           - |     - |
   |-------------+-------------+-------+-------------+-------|
   |         SUM |       58661 |     0 |       56856 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |        MEAN |        1892 |     0 |        1895 |     0 |
   +---------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
