   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: INHAMBANE

   Coordinates:

   Latitude =23DEG52'S

   Longitude =35DEG23'E

   Elevation = 14

   WMO Identifier: 67323

   Year 1994

   +---------------------------------------------------------+
   |        DATE |         NOV |     F |         DEC |     F |
   |-------------+-------------+-------+-------------+-------|
   |           1 |        2629 |     0 |        1507 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           2 |        2960 |     0 |        2964 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           3 |        1779 |     0 |        2479 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           4 |        2876 |     0 |        2575 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           5 |        2420 |     0 |        2830 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           6 |        2726 |     0 |        2613 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           7 |        2897 |     0 |        2474 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           8 |        2864 |     0 |        2805 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |           9 |        2881 |     0 |        2885 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          10 |        2705 |     0 |        1147 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          11 |        2726 |     0 |         904 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          12 |        2889 |     0 |        2525 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          13 |        2428 |     0 |        3035 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          14 |        2684 |     0 |        3023 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          15 |        2077 |     0 |        2072 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          16 |        2483 |     0 |        2328 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          17 |        2294 |     0 |        2952 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          18 |        2818 |     0 |        3023 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          19 |        2675 |     0 |        2445 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          20 |        2721 |     0 |        2943 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          21 |        1955 |     0 |        2784 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          22 |        2273 |     0 |        2927 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          23 |        1854 |     0 |        2370 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          24 |         360 |     0 |         842 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          25 |        2403 |     0 |        1913 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          26 |        2943 |     0 |         553 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          27 |        3178 |     0 |         657 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          28 |        3031 |     0 |        2282 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          29 |        1888 |     0 |         858 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          30 |        1959 |     0 |        2541 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |          31 |           - |     - |        3023 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |         SUM |       74376 |     0 |       70279 |     0 |
   |-------------+-------------+-------+-------------+-------|
   |        MEAN |        2479 |     0 |        2267 |     0 |
   +---------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
