   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MANIQUENIQUE

   Coordinates:

   Latitude =24DEG46'S

   Longitude =33DEG32'E

   Elevation = 13

   WMO Identifier: No WMO index

   Year 1988

   +------------------------------------------------------------------------+
   |  DATE |    AUG | F |    SEP | F |    OCT | F |    NOV | F |    DEC | F |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     1 |      - | 2 |   1432 | 0 |   1934 | 0 |   2696 | 0 |   2805 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     2 |   1692 | 0 |    448 | 0 |   2060 | 0 |   2621 | 0 |   3249 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     3 |   1608 | 0 |   1026 | 0 |   1415 | 0 |   2345 | 0 |   2969 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     4 |   1482 | 0 |   1922 | 0 |   2550 | 0 |   1378 | 0 |   2160 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     5 |   1574 | 0 |   1893 | 0 |   2491 | 0 |   1888 | 0 |   1733 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     6 |   1792 | 0 |   2253 | 0 |   2571 | 0 |   2269 | 0 |   1269 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     7 |   1796 | 0 |   2332 | 0 |   2567 | 0 |   2969 | 0 |   2558 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     8 |   1784 | 0 |   2248 | 0 |   2588 | 0 |   2969 | 0 |   1750 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     9 |   1294 | 0 |   2311 | 0 |   2592 | 0 |   2638 | 0 |   2056 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    10 |    909 | 0 |   2303 | 0 |   2345 | 0 |   2089 | 0 |   2638 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    11 |   1985 | 0 |   2269 | 0 |    662 | 0 |   2621 | 0 |   3216 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    12 |   2027 | 0 |   1143 | 0 |    695 | 0 |   3006 | 0 |   2475 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    13 |   2056 | 0 |    963 | 0 |    896 | 0 |   2977 | 0 |   2655 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    14 |   1930 | 0 |   1620 | 0 |   1089 | 0 |   3149 | 0 |   3216 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    15 |   2089 | 0 |   2098 | 0 |   1675 | 0 |   2194 | 0 |   2722 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    16 |   2089 | 0 |   2056 | 0 |   2906 | 0 |   1336 | 0 |   1013 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    17 |   1980 | 0 |   2265 | 0 |   2763 | 0 |   1566 | 0 |   2110 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    18 |   1415 | 0 |   2470 | 0 |   1750 | 0 |   2022 | 0 |   3015 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    19 |   1294 | 0 |   2479 | 0 |   1068 | 0 |   3124 | 0 |   3069 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    20 |   1947 | 0 |   2441 | 0 |   1185 | 0 |   3111 | 0 |   2943 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
