   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MOCUBA

   Coordinates:

   Latitude =16DEG50'S

   Longitude =36DEG59'E

   Elevation = 134

   WMO Identifier: 67265

   Year 1983

   +------------------------------------------------------------------------+
   |  DATE|    JAN|F|    FEB|F|    MAR|F|   APR|F|   MAY|F|   JUN|F|   JUL|F|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     1|   2675|0|   2663|0|   2349|0|  2403|0|  1842|0|  1097|0|  1712|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     2|   2776|0|   2562|0|   1817|0|  1918|0|  1696|0|  1775|0|  1281|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     3|   2562|0|   1880|0|   2433|0|  1876|0|  1725|0|  1532|0|  1244|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     4|   2663|0|   2278|0|   2408|0|  2357|0|  1830|0|   963|0|  1281|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     5|   2826|0|   1290|0|   1767|0|  2211|0|  1340|0|  1809|0|  1315|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     6|   2219|0|   1172|0|   1926|0|  1922|0|  1461|0|  1465|0|  1361|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     7|   1675|0|   2022|0|   2031|0|  1294|0|  1759|0|  1767|0|   892|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     8|   2391|0|   1842|0|   2420|0|  1821|0|  1583|0|  1005|0|  1482|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     9|   2881|0|   1239|0|   2575|0|  1784|0|  1851|0|  1072|0|  1800|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    10|   2571|0|   1080|0|   1968|0|  2073|0|  1595|0|  1763|0|  1549|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    11|   2462|0|   1269|0|   1921|0|  2085|0|  1725|0|  1658|0|  1972|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    12|   2655|0|   2663|0|   1855|0|  1918|0|  1524|0|   687|0|  1926|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    13|   2148|0|   1566|0|   1951|0|  2140|0|  1026|0|  1612|0|  1867|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    14|   2227|0|   1223|0|   1826|0|  2169|0|  2010|0|  1532|0|  1587|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    15|   2106|0|   1721|0|   2441|0|  1960|0|  1993|0|  1436|0|  1629|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    16|   1679|0|   1507|0|   2617|0|  1980|0|  1934|0|  1679|0|  1792|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    17|   1223|0|    997|0|   2491|0|  2098|0|  1708|0|  1645|0|  1390|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    18|   1139|0|   1909|0|   2391|0|  2014|0|  1750|0|  1658|0|  1043|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    19|   1934|0|   1599|0|   2370|0|  1775|0|  1708|0|  1273|0|  1168|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    20|   1884|0|   2449|0|   2010|0|  1645|0|  2010|0|   934|0|  1599|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    21|   2675|0|   2240|0|   2378|0|   925|0|  2006|0|  1742|0|  1562|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    22|   2747|0|   2797|0|   2039|0|  2060|0|  2027|0|  1675|0|  1846|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    23|   1696|0|   2671|0|   2320|0|  1851|0|  1926|0|  1842|0|  1721|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    24|   1248|0|   2336|0|   2336|0|  1800|0|  1151|0|  1700|0|  1633|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    25|   1105|0|   2742|0|   2165|0|  1319|0|  1378|0|  1507|0|  1541|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    26|    976|0|   2956|0|   2110|0|  1306|0|  1980|0|  1775|0|  1583|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    27|   1545|0|   2533|0|   2387|0|  1285|0|  2022|0|  1273|0|  1616|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    28|   2500|0|   1993|0|   1859|0|  1537|0|  1913|0|  1206|0|   691|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    29|   2491|0|      -|-|   1901|0|  1545|0|  1616|0|  1541|0|   544|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    30|   2583|0|      -|-|   1775|0|  1800|0|  1909|0|  1193|0|  1160|0|
