   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: RSA

   Station: ALEXANDER BAY

   Coordinates:

   Latitude =28DEG34'S

   Longitude =16DEG32'E

   Elevation = 21

   WMO Identifier: 68406

   Year 1964

   +------------------------------------------------------------------------+
   | DATE|  MAY|F|   JUN|F|   JUL|F|   AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    1|    -|2|  1360|0|  1427|0|  1440|0| 1988|0| 2382|0| 2771|0| 2591|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    2|    -|2|  1364|0|  1415|0|  1578|0| 2122|0| 2587|0| 2901|0| 2671|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    3|    -|2|   443|0|   527|0|  1649|0| 2156|0| 2553|0| 2985|0| 2122|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    4|    -|2|   791|0|  1281|0|  1637|0| 2135|0| 2302|0| 2273|0| 2675|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    5|    -|2|  1230|0|  1473|0|  1653|0| 1925|0| 2223|0| 2692|0| 2759|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    6|    -|2|   975|0|  1452|0|  1687|0| 2168|0|    -|2| 2566|0|    -|2|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    7|    -|2|  1176|0|  1507|0|  1523|0| 2059|0|    -|2| 2411|0| 2960|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    8|    -|2|  1373|0|  1465|0|  1385|0| 1867|0|    -|2| 2587|0| 3148|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |    9|    -|2|  1410|0|  1436|0|  1649|0| 2030|0|    -|2| 2800|0| 3156|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
   |   10|    -|2|  1318|0|  1398|0|  1653|0| 1900|0|    -|2| 3001|0| 3198|0|
   |-----+-----+-+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-|
