   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: RSA

   Station: ROODEPLAAT

   Coordinates:

   Latitude =25DEG35'S

   Longitude =28DEG21'E

   Elevation = 1164

   WMO Identifier: No WMO index

   Year 1975

   +------------------------------------------------------------------------+
   | DATE|   JAN|F|   FEB|F|   MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    1|     -|2|  1934|0|     -|2| 2160|0| 1830|0| 1470|0| 1223|0| 1679|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    2|     -|2|  2663|0|     -|2| 1985|0| 1821|0| 1474|0| 1373|0| 1838|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    3|     -|2|  2453|0|     -|2| 1365|0|  377|0| 1419|0| 1453|0| 1792|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    4|  2684|0|  2621|0|     -|2|  348|0|  879|0| 1465|0| 1269|0| 1763|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    5|  2981|0|  2868|0|  2675|0|  444|0| 1491|0| 1444|0| 1273|0| 1809|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    6|  2278|0|     -|2|  2424|0| 1876|0| 1729|0| 1511|0| 1290|0| 1641|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    7|  2520|0|     -|2|  2412|0|    -|2| 1733|0| 1436|0| 1465|0| 1645|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    8|  2692|0|  2395|0|  1679|0| 2039|0| 1059|0|    -|2| 1444|0| 1788|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |    9|  3073|0|  2211|0|  2504|0|    -|2| 1624|0| 1499|0| 1491|0| 1871|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   10|  2922|0|  1465|0|  2303|0|    -|2| 1779|0| 1415|0| 1553|0| 1842|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   11|  2864|0|     -|2|  2579|0|    -|2| 1733|0| 1478|0| 1537|0| 1821|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   12|  2437|0|  1846|0|  1390|0| 2022|0| 1687|0| 1407|0| 1532|0| 1905|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   13|  2319|0|  1524|0|  1478|0|    -|2|  494|0| 1373|0| 1486|0| 1863|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   14|  2265|0|   896|0|   536|0| 1055|0| 1767|0| 1495|0| 1390|0| 1830|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   15|  1742|0|  1143|0|   909|0|  662|0| 1495|0| 1482|0| 1470|0| 1968|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   16|  2303|0|  1591|0|  1151|0|    -|2| 1691|0| 1440|0| 1470|0|  904|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
   |   17|  2621|0|     -|2|  1654|0| 1825|0| 1691|0| 1507|0| 1499|0| 1281|0|
   |-----+------+-+------+-+------+-+-----+-+-----+-+-----+-+-----+-+-----+-|
