   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: DAR ES SALAAMARPT

   Coordinates:

   Latitude =6DEG53'S

   Longitude =39DEG12'E

   Elevation = 55

   WMO Identifier: 63894

   Year 1968

   +------------------------------------------------------------------------+
   |  DATE|    JUN|F|    JUL|F|    AUG|F|   SEP|F|   OCT|F|   NOV|F|   DEC|F|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     1|   1452|0|   1854|0|   1758|0|  1406|0|  2072|0|  2411|0|  1310|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     2|   1507|0|   1406|0|      -|2|  1574|0|  2164|0|  2172|0|   665|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     3|   1092|0|   1729|0|      -|2|  1586|0|  2198|0|  1884|0|     -|2|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     4|   1163|0|   1691|0|   1754|0|  1503|0|  2139|0|  2386|0|  1356|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     5|   1611|0|   1549|0|      -|2|  2093|0|  1863|0|  2135|0|  1712|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     6|   1046|0|   1863|0|   1884|0|  1984|0|  2152|0|  1825|0|  1519|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     7|    401|0|   2382|0|   1683|0|  1791|0|  1971|0|     -|2|   573|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     8|   1611|0|   1683|0|   1787|0|  1498|0|  1888|0|  1247|0|  1360|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |     9|   1720|0|   1754|0|    799|0|  2085|0|  1637|0|  2085|0|  2160|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    10|   1796|0|   1683|0|   1289|0|  1896|0|  2419|0|  1611|0|  2369|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    11|   1976|0|   1528|0|   1511|0|  1113|0|  2503|0|  2034|0|  1821|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    12|   1858|0|   1532|0|   1771|0|  1951|0|  2424|0|  2344|0|  2315|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    13|   1812|0|   1724|0|   1632|0|  1469|0|  2101|0|  2214|0|  2013|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    14|   1729|0|   1641|0|   1385|0|  1967|0|  1720|0|  1356|0|  2365|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    15|   1549|0|   1695|0|   1708|0|  1268|0|  1750|0|  2378|0|  2566|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    16|   1729|0|   2013|0|   1578|0|  1624|0|  2390|0|  2206|0|  2357|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    17|   1611|0|   1444|0|   1716|0|  1607|0|  1209|0|   774|0|  2294|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    18|   1712|0|   1745|0|   1754|0|  2089|0|  2520|0|  1092|0|  2265|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    19|   1519|0|      -|2|   1842|0|  2181|0|   590|0|  1356|0|  2466|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    20|    933|0|   1427|0|   1063|0|  2118|0|  1787|0|  1117|0|  2193|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    21|   1775|0|   1570|0|   1611|0|  2202|0|  2013|0|  1942|0|  2206|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    22|   1942|0|   1817|0|   1980|0|  2080|0|  2399|0|  2001|0|  1875|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    23|   1967|0|   1632|0|   2105|0|  1934|0|  2348|0|   728|0|  2034|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    24|   1779|0|      -|2|   1984|0|  1930|0|  1565|0|  1771|0|  2080|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    25|   1490|0|      -|2|   1942|0|  2219|0|  2269|0|  2185|0|  2043|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    26|   1670|0|   1838|0|   2034|0|  2198|0|  1900|0|  2080|0|  2168|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    27|   1620|0|   1528|0|   1423|0|   904|0|  1951|0|  2248|0|  2152|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    28|   1678|0|   1913|0|   1038|0|  1519|0|  1867|0|  1988|0|  2072|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    29|   1875|0|   1222|0|   1733|0|  1385|0|  1398|0|  2583|0|  1971|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    30|   1716|0|   1285|0|   1310|0|  1637|0|  2135|0|  2524|0|  1963|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |    31|      -|-|   1595|0|   1540|0|     -|-|  2189|0|     -|-|  1980|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
   |   SUM|  47310|0|  51739|0|  50499|0| 52800|0| 61504|0| 56550|0| 60140|0|
   |------+-------+-+-------+-+-------+-+------+-+------+-+------+-+------+-|
