   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: NAMPULA

   Coordinates:

   Latitude =15DEG06'S

   Longitude =39DEG17'E

   Elevation = 433

   WMO Identifier: 67237

   Year 1982

+------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 2380|0| 2929|0| 2665|0| 2445|0|    -|2| 1575|0| 1013|0| 2127|0| 2479|0| 2089|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 2799|0| 2868|0| 2591|0| 2786|0| 2003|0| 1501|0| 1671|0| 2135|0| 2428|0| 2035|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 3072|0| 2764|0| 2536|0| 2492|0|    -|2| 1622|0| 1725|0| 2052|0| 2395|0| 2077|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2721|0| 1761|0|  904|0| 2639|0|    -|2| 1778|0| 1532|0| 1976|0| 2353|0| 2194|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2055|0|  809|0| 1444|0| 2596|0|    -|2| 1960|0| 1306|0| 2052|0| 2001|0| 2110|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 1956|0| 1450|0| 2557|0|    -|2|    -|2| 2029|0| 1566|0| 2148|0|  921|0| 1951|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   7| 2536|0|  722|0| 2635|0| 2124|0| 1562|0| 2029|0| 1269|0| 1826|0| 2504|0| 1612|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   8| 2029|0| 2431|0| 2643|0| 2164|0| 1505|0| 1812|0| 1369|0| 2173|0| 2449|0| 2529|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   9| 2008|0| 2025|0| 2587|0| 2194|0| 1341|0| 1254|0| 1030|0| 2047|0| 1893|0| 2500|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  10| 1263|0| 2059|0| 2609|0| 1557|0|  766|0| 1406|0| 1184|0| 1574|0| 2449|0| 2462|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  11| 2833|0| 2722|0| 2591|0| 1618|0| 2073|0| 1757|0| 1909|0| 1666|0| 2114|0| 2579|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  12| 2154|0| 1691|0| 2635|0|    -|2| 2085|0| 1774|0| 1909|0| 1537|0| 1641|0| 2500|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  13| 1860|0| 1073|0| 2500|0| 2496|0| 2172|0| 1943|0| 1905|0| 1520|0| 1763|0| 2462|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  14| 2726|0| 2142|0| 2587|0| 2314|0| 1812|0| 1782|0| 1574|0| 2315|0| 2487|0| 2353|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  15|  987|0| 2470|0| 1956|0| 2128|0| 2189|0| 1960|0| 1457|0| 1352|0| 2290|0| 2751|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  16| 2518|0| 1947|0| 2526|0| 1679|0| 1873|0| 1873|0| 1390|0| 1172|0| 2575|0| 2445|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  17| 2890|0| 1808|0| 2059|0|    -|2| 1964|0| 1752|0| 1809|0| 1800|0| 2479|0| 2508|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  18| 1822|0|  610|0| 1280|0| 2137|0| 2094|0| 1721|0| 2022|0| 2089|0| 2253|0| 2135|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  19| 1185|0| 2509|0| 1743|0| 1782|0| 2107|0| 1424|0| 1553|0| 2177|0| 2395|0| 2487|0|
