   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: NAMPULA

   Coordinates:

   Latitude =15DEG06'S

   Longitude =39DEG17'E

   Elevation = 433

   WMO Identifier: 67237

   Year 2003

   +------------------------------------+
   |         DATE |         AUG |     F |
   |--------------+-------------+-------|
   |            1 |           - |     2 |
   |--------------+-------------+-------|
   |            2 |           - |     2 |
   |--------------+-------------+-------|
   |            3 |           - |     2 |
   |--------------+-------------+-------|
   |            4 |           - |     2 |
   |--------------+-------------+-------|
   |            5 |        1915 |     0 |
   |--------------+-------------+-------|
   |            6 |        1428 |     0 |
   |--------------+-------------+-------|
   |            7 |        1892 |     0 |
   |--------------+-------------+-------|
   |            8 |        1696 |     0 |
   |--------------+-------------+-------|
   |            9 |        2009 |     0 |
   |--------------+-------------+-------|
   |           10 |        1679 |     0 |
   |--------------+-------------+-------|
   |           11 |        1591 |     0 |
   |--------------+-------------+-------|
   |           12 |        2098 |     0 |
   |--------------+-------------+-------|
   |           13 |        2043 |     0 |
   |--------------+-------------+-------|
   |           14 |        2039 |     0 |
   |--------------+-------------+-------|
   |           15 |        2047 |     0 |
   |--------------+-------------+-------|
   |           16 |        1591 |     0 |
   |--------------+-------------+-------|
   |           17 |        2236 |     0 |
   |--------------+-------------+-------|
   |           18 |        2106 |     0 |
   |--------------+-------------+-------|
   |           19 |        1918 |     0 |
   |--------------+-------------+-------|
   |           20 |        2303 |     0 |
   |--------------+-------------+-------|
   |           21 |        1909 |     0 |
   |--------------+-------------+-------|
   |           22 |        1976 |     0 |
   |--------------+-------------+-------|
   |           23 |        2244 |     0 |
   |--------------+-------------+-------|
   |           24 |        2324 |     0 |
   |--------------+-------------+-------|
   |           25 |        2227 |     0 |
   |--------------+-------------+-------|
   |           26 |        2236 |     0 |
   |--------------+-------------+-------|
   |           27 |        2206 |     0 |
   |--------------+-------------+-------|
   |           28 |        2210 |     0 |
   |--------------+-------------+-------|
   |           29 |        2361 |     0 |
   |--------------+-------------+-------|
   |           30 |        2252 |     0 |
   |--------------+-------------+-------|
   |           31 |        2261 |     0 |
   |--------------+-------------+-------|
   |          SUM |       62915 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        2030 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
