   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: UMBELUZI

   Coordinates:

   Latitude =26DEG03'S

   Longitude =32DEG23'E

   Elevation = 12

   WMO Identifier: No WMO index

   Year 1970

   +------------------------------------------------------------------------+
   |     DATE |      JAN |  F |      FEB |  F |      MAR |  F |     APR | F |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        1 |     3278 |  0 |     2786 |  0 |     2232 |  0 |    2535 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        2 |     1579 |  0 |      562 |  0 |     1989 |  0 |    2392 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        3 |     1933 |  0 |     2123 |  0 |     2851 |  0 |    2218 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        4 |     3170 |  0 |     2742 |  0 |     2729 |  0 |    2548 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        5 |     1686 |  0 |     2032 |  0 |     2483 |  0 |    2379 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        6 |     1920 |  0 |     2521 |  0 |     2444 |  0 |    2297 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        7 |     1726 |  0 |     2271 |  0 |     1643 |  0 |    2430 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        8 |     3197 |  0 |      744 |  0 |     2677 |  0 |    1198 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        9 |     2742 |  0 |     2521 |  0 |     2772 |  0 |    2206 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       10 |     3063 |  0 |     1851 |  0 |     1288 |  0 |    2349 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       11 |     3063 |  0 |     2072 |  0 |     2193 |  0 |    2418 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       12 |      968 |  0 |     2232 |  0 |     2617 |  0 |    2046 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       13 |     2085 |  0 |     2349 |  0 |     2007 |  0 |    2149 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       14 |     3080 |  0 |     2716 |  0 |     2677 |  0 |    2149 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       15 |     1825 |  0 |     2418 |  0 |     2560 |  0 |    1959 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       16 |     1107 |  0 |     1769 |  0 |     2392 |  0 |    1920 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       17 |     2630 |  0 |     1972 |  0 |     2665 |  0 |    1258 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       18 |     3209 |  0 |     2824 |  0 |     2521 |  0 |    2058 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       19 |     2863 |  0 |     2984 |  0 |     2630 |  0 |    2218 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       20 |     2444 |  0 |     2193 |  0 |     1318 |  0 |    2283 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       21 |     2877 |  0 |     3144 |  0 |     2032 |  0 |    2058 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       22 |     3235 |  0 |     3209 |  0 |     2323 |  0 |    1630 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       23 |     1258 |  0 |     2703 |  0 |     2323 |  0 |    1510 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       24 |     1920 |  0 |     3106 |  0 |     2271 |  0 |    2058 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       25 |     2655 |  0 |     2798 |  0 |     2309 |  0 |    2444 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       26 |     2418 |  0 |     3037 |  0 |     2521 |  0 |    2206 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       27 |     2149 |  0 |     2742 |  0 |     2590 |  0 |    2430 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       28 |     2837 |  0 |     2521 |  0 |      610 |  0 |    2244 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       29 |     2271 |  0 |        - |  - |     2258 |  0 |    1617 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       30 |     2617 |  0 |        - |  - |     2137 |  0 |    1579 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       31 |     2495 |  0 |        - |  - |     2535 |  0 |       - | - |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |      SUM |    74300 |  0 |    66942 |  0 |    70597 |  0 |   62786 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |     MEAN |     2397 |  0 |     2391 |  0 |     2277 |  0 |    2093 | 0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
