   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: CHICUALACUALA

   Coordinates:

   Latitude =22DEG05'S

   Longitude =31DEG41'E

   Elevation = 452

   WMO Identifier: 67308

   Year 1966

   +------------------------------------------------------------------------+
   |     DATE |      SEP |  F |      OCT |  F |      NOV |  F |     DEC | F |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        1 |     2119 |  0 |     2596 |  0 |     3037 |  0 |    3110 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        2 |     2400 |  0 |     2660 |  0 |     2920 |  0 |    2707 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        3 |     2353 |  0 |     2634 |  0 |     3015 |  0 |    2776 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        4 |     2249 |  0 |     2794 |  0 |     2881 |  0 |    2958 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        5 |     2361 |  0 |     2707 |  0 |     1409 |  0 |    2305 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        6 |     1505 |  0 |     1535 |  0 |     1440 |  0 |    2210 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        7 |     2111 |  0 |     2643 |  0 |     1967 |  0 |     960 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        8 |     1916 |  0 |     2881 |  0 |     1929 |  0 |    2197 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        9 |     2327 |  0 |     2976 |  0 |      921 |  0 |    2803 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       10 |     2474 |  0 |     2746 |  0 |      960 |  0 |    2841 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       11 |     2327 |  0 |     2444 |  0 |     2691 |  0 |    2725 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       12 |     1617 |  0 |     2539 |  0 |     2495 |  0 |    2063 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       13 |     2240 |  0 |     2357 |  0 |     1514 |  0 |    2024 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       14 |     2288 |  0 |     2331 |  0 |     2997 |  0 |    2699 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       15 |     2046 |  0 |      627 |  0 |     1211 |  0 |    1825 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       16 |     1989 |  0 |      605 |  0 |     1765 |  0 |    1306 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       17 |      649 |  0 |     1947 |  0 |     2660 |  0 |    1920 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       18 |      605 |  0 |     1734 |  0 |     1864 |  0 |    1959 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       19 |     1514 |  0 |     1856 |  0 |     1172 |  0 |     731 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       20 |     2327 |  0 |     2007 |  0 |     1440 |  0 |    1613 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       21 |     2361 |  0 |     2954 |  0 |     2323 |  0 |    1903 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       22 |     2677 |  0 |      739 |  0 |     2439 |  0 |    1362 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       23 |     2586 |  0 |     3136 |  0 |     2997 |  0 |    2353 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       24 |     1358 |  0 |     3011 |  0 |     3045 |  0 |    2638 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       25 |     2465 |  0 |     3080 |  0 |     3053 |  0 |    2093 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       26 |     2379 |  0 |     2301 |  0 |     3037 |  0 |    2824 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       27 |     2388 |  0 |     2993 |  0 |     3053 |  0 |    2305 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       28 |     2426 |  0 |     3088 |  0 |     3205 |  0 |    2487 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       29 |     1077 |  0 |     3128 |  0 |     2997 |  0 |    3053 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       30 |     1496 |  0 |     2993 |  0 |     1825 |  0 |    1457 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       31 |        - |  - |     2907 |  0 |        - |  - |    1419 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |      SUM |    60630 |  0 |    74949 |  0 |    68262 |  0 |   67626 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |     MEAN |     2021 |  0 |     2418 |  0 |     2275 |  0 |    2181 | 0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
