   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAIRE

   Station: BUNIA / RUAMPARA

   Coordinates:

   Latitude =1DEG34'N

   Longitude =30DEG13'E

   Elevation = 1285

   WMO Identifier: 64077

   Year 1967

   +------------------------------------------------------------------------+
   |       DATE |        APR |    F |        MAY |    F |        JUN |    F |
   |------------+------------+------+------------+------+------------+------|
   |          1 |       1716 |    0 |       1729 |    0 |       2034 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          2 |       2001 |    0 |       2026 |    0 |       2172 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          3 |       2294 |    0 |       2319 |    0 |       2352 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          4 |       2340 |    0 |       1997 |    0 |       1842 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          5 |       2390 |    0 |        561 |    0 |       2164 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          6 |       2277 |    0 |       1624 |    0 |       1925 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          7 |       2193 |    0 |       2114 |    0 |       1406 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          8 |       2013 |    0 |       1762 |    0 |       1791 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          9 |       2202 |    0 |       2319 |    0 |       1582 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         10 |       1172 |    0 |       2428 |    0 |        301 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         11 |       1846 |    0 |       2252 |    0 |       2306 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         12 |       2445 |    0 |       2365 |    0 |       1833 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         13 |       2340 |    0 |       2327 |    0 |       1565 |    1 |
   |------------+------------+------+------------+------+------------+------|
   |         14 |       2239 |    0 |        837 |    0 |        908 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         15 |       2047 |    0 |       2009 |    0 |       2034 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         16 |       1620 |    0 |       1980 |    0 |       2193 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         17 |       2076 |    0 |       2373 |    0 |       1549 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         18 |       1398 |    0 |       1817 |    0 |       2156 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         19 |       1306 |    0 |       1155 |    0 |       2068 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         20 |       2436 |    1 |       1230 |    0 |       1109 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         21 |       1863 |    0 |       1699 |    0 |       2139 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         22 |       2579 |    0 |       2189 |    0 |       1963 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         23 |       1611 |    0 |       2285 |    0 |       1247 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         24 |        443 |    0 |       1791 |    0 |       1415 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         25 |       1754 |    0 |       1607 |    0 |       1427 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         26 |        975 |    0 |       2131 |    0 |       1339 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         27 |       2185 |    0 |       2244 |    0 |       1737 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         28 |        644 |    0 |       1850 |    0 |       1653 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         29 |       1574 |    0 |       1674 |    0 |       1603 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         30 |       1909 |    0 |       1716 |    0 |       1653 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         31 |          - |    - |        586 |    0 |          - |    - |
   |------------+------------+------+------------+------+------------+------|
   |        SUM |      55860 |    0 |      56978 |    0 |      51450 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |       MEAN |       1862 |    0 |       1838 |    0 |       1715 |    0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
