   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 1982

   +------------------------------------------------------------------------+
   | DATE|   APR|F|  MAY|F|  JUN|F|JUL|F|AUG|F| SEP|F| OCT|F|  NOV|F|  DEC|F|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    1|  1402|0| 2245|0| 2085|0|  -|-|  -|-|   -|2|2324|0| 2571|0| 1788|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    2|  1056|0| 1484|0|  827|0|  -|-|  -|-|   -|2|1130|0| 2554|0| 1507|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    3|  2059|0|  865|0| 1657|0|  -|-|  -|-|   -|2|2056|0| 2646|0| 2043|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    4|  1242|0| 1159|0| 1484|0|  -|-|  -|-|   -|2|1951|0| 2621|0| 2663|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    5|  2020|0| 1739|0| 1960|0|  -|-|  -|-|   -|2|2085|0| 2638|0| 2466|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    6|  2224|0| 1289|0| 2068|0|  -|-|  -|-|   -|2|1482|0| 2537|0| 1750|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    7|  2479|0| 1082|0| 2124|0|  -|-|  -|-|   -|2|1340|0| 2747|0| 1742|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
   |    8|  1454|0| 1258|0| 2085|0|  -|-|  -|-|   -|2|1503|0| 2579|0| 1796|0|
   |-----+------+-+-----+-+-----+-+---+-+---+-+----+-+----+-+-----+-+-----+-|
