   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: BEIRA

   Coordinates:

   Latitude =19DEG50'S

   Longitude =34DEG51'E

   Elevation = 7

   WMO Identifier: 67297

   Year 1986

   +------------------------------------------------------------------------+
   |   DATE |    JAN | F |    FEB | F |    MAR | F |    APR | F |   MAY | F |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      1 |   1516 | 0 |   2110 | 0 |   2956 | 0 |   1704 | 0 |  2035 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      2 |    662 | 0 |   1650 | 0 |   2893 | 0 |   2437 | 0 |  2261 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      3 |   2546 | 0 |   2826 | 0 |   2876 | 0 |   2064 | 0 |  2043 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      4 |   2990 | 0 |   2604 | 0 |   1997 | 0 |   2081 | 0 |  2194 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      5 |   2211 | 0 |   3157 | 0 |   2031 | 0 |   2278 | 0 |  1499 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      6 |    565 | 0 |   2730 | 0 |   2487 | 0 |   2370 | 0 |  2156 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      7 |    348 | 0 |   2738 | 0 |   2516 | 0 |   2282 | 0 |  2119 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      8 |   2809 | 0 |   2918 | 0 |   2194 | 0 |   2219 | 0 |  2177 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |      9 |    507 | 0 |   1378 | 0 |   2500 | 0 |   2294 | 0 |  2060 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     10 |   3019 | 0 |   2751 | 0 |   2772 | 0 |   2027 | 0 |  2039 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     11 |   2768 | 0 |   2596 | 0 |   2814 | 0 |   2320 | 0 |  2127 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     12 |   2454 | 0 |   2923 | 0 |   2747 | 0 |   2198 | 0 |  2140 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     13 |   3065 | 0 |   2985 | 0 |   2734 | 0 |   2353 | 0 |  2006 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     14 |   2977 | 0 |   2868 | 0 |   2655 | 0 |   2160 | 0 |  1788 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     15 |   2830 | 0 |   3019 | 0 |   2868 | 0 |   2135 | 0 |  2068 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     16 |   2763 | 0 |   2047 | 0 |   2742 | 0 |   1964 | 0 |  1888 | 0 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     17 |   2897 | 0 |   2642 | 0 |   2487 | 0 |   1964 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     18 |   2893 | 0 |   1884 | 0 |   2127 | 0 |   1830 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     19 |   2910 | 0 |   2521 | 0 |   2609 | 0 |   1436 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     20 |   2114 | 0 |   2818 | 0 |    389 | 0 |   1784 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     21 |   2876 | 0 |   2759 | 0 |   2604 | 0 |    519 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     22 |   3140 | 0 |   2881 | 0 |   2617 | 0 |   1156 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     23 |   2315 | 0 |   2579 | 0 |   2156 | 0 |   2207 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     24 |   2123 | 0 |   1005 | 0 |   2027 | 0 |   1708 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     25 |   2052 | 0 |   2403 | 0 |    779 | 0 |   1947 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     26 |   1595 | 0 |    997 | 0 |   1164 | 0 |   1779 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     27 |    766 | 0 |   2650 | 0 |   1738 | 0 |   1608 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     28 |   2114 | 0 |   2701 | 0 |   2575 | 0 |   1269 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     29 |   2395 | 0 |      - | - |   2035 | 0 |   2085 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     30 |   2152 | 0 |      - | - |   2500 | 0 |   2073 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |     31 |   3002 | 0 |      - | - |   2588 | 0 |      - | - |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |    SUM |  69374 | 0 |  69140 | 0 |  72177 | 0 |  58251 | 0 |     - | 2 |
   |--------+--------+---+--------+---+--------+---+--------+---+-------+---|
   |   MEAN |   2238 | 0 |   2469 | 0 |   2328 | 0 |   1942 | 0 |     - | 2 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
