   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAIRE

   Station: GOMA

   Coordinates:

   Latitude =1DEG40'S

   Longitude =29DEG41'E

   Elevation = 1555

   WMO Identifier: 64184

   Year 1984

   +------------------------------------+
   |         DATE |         JUL |     F |
   |--------------+-------------+-------|
   |            1 |        2166 |     0 |
   |--------------+-------------+-------|
   |            2 |        2158 |     0 |
   |--------------+-------------+-------|
   |            3 |        2028 |     0 |
   |--------------+-------------+-------|
   |            4 |        1437 |     0 |
   |--------------+-------------+-------|
   |            5 |           - |     2 |
   |--------------+-------------+-------|
   |            6 |        1785 |     0 |
   |--------------+-------------+-------|
   |            7 |        1471 |     0 |
   |--------------+-------------+-------|
   |            8 |        1575 |     0 |
   |--------------+-------------+-------|
   |            9 |        1605 |     0 |
   |--------------+-------------+-------|
   |           10 |        1550 |     0 |
   |--------------+-------------+-------|
   |           11 |        1747 |     0 |
   |--------------+-------------+-------|
   |           12 |        1911 |     0 |
   |--------------+-------------+-------|
   |           13 |        1575 |     0 |
   |--------------+-------------+-------|
   |           14 |         645 |     0 |
   |--------------+-------------+-------|
   |           15 |        1018 |     0 |
   |--------------+-------------+-------|
   |           16 |        1257 |     0 |
   |--------------+-------------+-------|
   |           17 |        1521 |     0 |
   |--------------+-------------+-------|
   |           18 |        1663 |     0 |
   |--------------+-------------+-------|
   |           19 |        1877 |     0 |
   |--------------+-------------+-------|
   |           20 |        1957 |     0 |
   |--------------+-------------+-------|
   |           21 |        2045 |     0 |
   |--------------+-------------+-------|
   |           22 |        1756 |     0 |
   |--------------+-------------+-------|
   |           23 |        1332 |     0 |
   |--------------+-------------+-------|
   |           24 |        1462 |     0 |
   |--------------+-------------+-------|
   |           25 |        1207 |     0 |
   |--------------+-------------+-------|
   |           26 |        1776 |     0 |
   |--------------+-------------+-------|
   |           27 |        1785 |     0 |
   |--------------+-------------+-------|
   |           28 |        1844 |     0 |
   |--------------+-------------+-------|
   |           29 |        1257 |     0 |
   |--------------+-------------+-------|
   |           30 |        1860 |     0 |
   |--------------+-------------+-------|
   |           31 |        1575 |     0 |
   |--------------+-------------+-------|
   |          SUM |       50473 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        1628 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
