   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: KENYA

   Station: NAIROBI / KENYATTA ARPT

   Coordinates:

   Latitude =1DEG19'S

   Longitude =36DEG55'E

   Elevation = 1624

   WMO Identifier: 63740

   Year 1992

  +----------------------------------------------------------------------------+
  |DATE|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   1| 1964|0| 2259|0| 2033|0| 1416|0| 2110|0| 1125|0| 1891|0| 1408|0| 1202|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   2| 2289|0| 2401|0| 1712|0| 1540|0| 2212|0| 1463|0| 1626|0| 1382|0| 1164|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   3| 2255|0| 2336|0| 2041|0| 1446|0| 2259|0| 1446|0|  933|0| 1250|0| 1344|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   4| 2495|0| 2354|0| 2229|0| 2242|0| 2165|0| 1172|0| 1322|0| 1070|0| 1549|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   5| 2242|0| 2276|0| 1968|0| 2383|0| 1361|0| 1609|0| 1202|0| 1344|0| 1408|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   6| 2118|0| 2204|0| 1382|0| 1861|0| 1172|0| 1258|0|  633|0| 1549|0| 1314|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   7| 2525|0| 2182|0| 1784|0| 1994|0| 1181|0| 1314|0|  578|0| 1643|0| 2221|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   8| 2495|0| 2050|0| 1579|0| 2165|0| 1549|0| 1237|0| 1690|0| 1609|0| 2182|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |   9| 2602|0| 2259|0| 1823|0| 1853|0| 1010|0| 1314|0| 1656|0| 1502|0| 1596|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  10| 2071|0| 2165|0| 1814|0| 1485|0| 1057|0| 1502|0|  877|0| 1250|0| 2088|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  11| 2114|0| 1977|0| 1690|0| 1806|0|  890|0| 1220|0|  916|0| 1267|0| 2306|0|
  |----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
  |  12| 2315|0| 1994|0| 2196|0| 1750|0| 1399|0|  813|0| 2024|0| 1164|0| 2097|0|
