   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MANIQUENIQUE

   Coordinates:

   Latitude =24DEG46'S

   Longitude =33DEG32'E

   Elevation = 13

   WMO Identifier: No WMO index

   Year 1984

+-------------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F| NOV|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   1| 2512|0| 1583|0| 1888|0| 1407|0| 1495|0| 1239|0| 1503|0| 1323|0| 1905|0| 2328|0|2516|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   2| 2060|0| 2516|0| 2198|0| 1126|0| 1512|0| 1549|0| 1486|0| 1750|0| 1968|0| 2077|0| 502|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   3| 1867|0| 1206|0| 2240|0| 1754|0| 1612|0| 1411|0| 1394|0| 1708|0| 1976|0| 2278|0|2227|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   4| 2370|0| 1625|0| 1985|0| 1993|0| 1566|0| 1411|0| 1424|0| 1750|0| 1327|0| 2085|0|2705|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   5| 1960|0| 2500|0| 2152|0| 1784|0| 1666|0| 1457|0| 1495|0| 1742|0| 2047|0| 1905|0|2408|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   6| 2412|0| 2491|0| 2018|0| 1800|0| 1386|0| 1210|0| 1457|0| 1432|0| 2047|0| 1633|0| 925|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   7| 2320|0| 2328|0| 2052|0| 1830|0| 1465|0| 1227|0| 1005|0| 1570|0| 2056|0| 1980|0|2763|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   8| 2437|0| 2475|0| 1076|0| 1775|0| 1063|0| 1034|0| 1302|0| 1641|0| 2064|0| 2374|0|2181|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|   9| 1767|0| 1524|0| 1558|0| 1197|0| 1616|0| 1206|0| 1256|0| 1754|0| 1645|0| 2378|0|2789|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
|  10| 2102|0| 2592|0| 1708|0| 1001|0| 1549|0| 1340|0|  574|0| 1516|0| 1319|0| 1771|0|2822|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+----+-|
