   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: XAI-XAI

   Coordinates:

   Latitude =25DEG03'S

   Longitude =33DEG38'E

   Elevation = 15

   WMO Identifier: 67335

   Year 1998

   +------------------------------------------------------------------------+
   |     DATE |      JUL |  F |      AUG |  F |      SEP |  F |     OCT | F |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        1 |     1013 |  0 |     1419 |  0 |     2223 |  0 |    2479 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        2 |     1415 |  0 |      816 |  0 |     1675 |  0 |    1386 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        3 |     1562 |  0 |     1926 |  0 |     1876 |  0 |    1026 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        4 |     1059 |  0 |     1976 |  0 |     2303 |  0 |    2022 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        5 |     1528 |  0 |     1951 |  0 |     2420 |  0 |    2721 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        6 |     1482 |  0 |     1449 |  0 |     2395 |  0 |    2554 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        7 |     1545 |  0 |     1863 |  0 |     2127 |  0 |    1620 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        8 |     1394 |  0 |     1591 |  0 |     2131 |  0 |     590 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        9 |     1398 |  0 |     1235 |  0 |     1964 |  0 |    2366 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       10 |     1239 |  0 |     2026 |  0 |     2156 |  0 |    2470 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       11 |      862 |  0 |     1934 |  0 |      523 |  0 |    2742 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       12 |     1218 |  0 |     2035 |  0 |      896 |  0 |    2261 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       13 |     1352 |  0 |     2098 |  0 |     2303 |  0 |    2252 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       14 |     1189 |  0 |     2001 |  0 |     2110 |  0 |    1859 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       15 |     1725 |  0 |     1892 |  0 |     2541 |  0 |    2014 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       16 |     1775 |  0 |      896 |  0 |     2089 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       17 |     1721 |  0 |     1696 |  0 |     2474 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       18 |     1679 |  0 |     2022 |  0 |     2516 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       19 |     1532 |  0 |     1993 |  0 |     1440 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       20 |     1788 |  0 |     1855 |  0 |     2650 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       21 |     1779 |  0 |     1930 |  0 |     2713 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       22 |     1348 |  0 |     2035 |  0 |     2625 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       23 |      301 |  0 |      909 |  0 |     2579 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       24 |     1352 |  0 |      775 |  0 |     2608 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       25 |     1587 |  0 |     2181 |  0 |     2152 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       26 |     1637 |  0 |     2278 |  0 |     1926 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       27 |     1700 |  0 |     2060 |  0 |     2525 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       28 |     1746 |  0 |     1750 |  0 |     2273 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       29 |     1499 |  0 |     2357 |  0 |      996 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       30 |     1281 |  0 |     2349 |  0 |     1666 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       31 |     1516 |  0 |     1750 |  0 |        - |  - |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |      SUM |    44222 |  0 |    55048 |  0 |    62875 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |     MEAN |     1427 |  0 |     1776 |  0 |     2096 |  0 |       - | 2 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
