   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MOCUBA

   Coordinates:

   Latitude =16DEG50'S

   Longitude =36DEG59'E

   Elevation = 134

   WMO Identifier: 67265

   Year 1968

   +------------------------------------+
   |         DATE |         JUN |     F |
   |--------------+-------------+-------|
   |            1 |        1868 |     0 |
   |--------------+-------------+-------|
   |            2 |        1799 |     0 |
   |--------------+-------------+-------|
   |            3 |        1189 |     0 |
   |--------------+-------------+-------|
   |            4 |        1899 |     0 |
   |--------------+-------------+-------|
   |            5 |        1882 |     0 |
   |--------------+-------------+-------|
   |            6 |        1830 |     0 |
   |--------------+-------------+-------|
   |            7 |        1721 |     0 |
   |--------------+-------------+-------|
   |            8 |        1747 |     0 |
   |--------------+-------------+-------|
   |            9 |        1765 |     0 |
   |--------------+-------------+-------|
   |           10 |        1189 |     0 |
   |--------------+-------------+-------|
   |           11 |        1617 |     0 |
   |--------------+-------------+-------|
   |           12 |        1635 |     0 |
   |--------------+-------------+-------|
   |           13 |        1933 |     0 |
   |--------------+-------------+-------|
   |           14 |        1989 |     0 |
   |--------------+-------------+-------|
   |           15 |        1933 |     0 |
   |--------------+-------------+-------|
   |           16 |        1816 |     0 |
   |--------------+-------------+-------|
   |           17 |        1842 |     0 |
   |--------------+-------------+-------|
   |           18 |        1674 |     0 |
   |--------------+-------------+-------|
   |           19 |        1643 |     0 |
   |--------------+-------------+-------|
   |           20 |        1367 |     0 |
   |--------------+-------------+-------|
   |           21 |        1522 |     0 |
   |--------------+-------------+-------|
   |           22 |        1488 |     0 |
   |--------------+-------------+-------|
   |           23 |        1163 |     0 |
   |--------------+-------------+-------|
   |           24 |        1777 |     0 |
   |--------------+-------------+-------|
   |           25 |        1591 |     0 |
   |--------------+-------------+-------|
   |           26 |         770 |     0 |
   |--------------+-------------+-------|
   |           27 |         536 |     0 |
   |--------------+-------------+-------|
   |           28 |         744 |     0 |
   |--------------+-------------+-------|
   |           29 |        1189 |     0 |
   |--------------+-------------+-------|
   |           30 |        1033 |     0 |
   |--------------+-------------+-------|
   |           31 |           - |     - |
   |--------------+-------------+-------|
   |          SUM |       46151 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        1538 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
