   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: BUKOBA

   Coordinates:

   Latitude =1DEG20'S

   Longitude =31DEG49'E

   Elevation = 1137

   WMO Identifier: 63729

   Year 1970

   +------------------------------------------------------------------------+
   |    DATE|     MAR|F|     APR|F|     MAY|F|     JUN|F|   JUL|F|     AUG|F|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       1|    2047|0|    1436|0|    1197|0|    1532|0|     -|-|    1360|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       2|     988|0|    1980|0|    1055|0|    1971|0|     -|-|    1436|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       3|    2432|0|    2470|0|    1925|0|     761|0|     -|-|    1256|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       4|    1159|0|    2298|0|    1783|0|    1888|0|     -|-|    1695|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       5|    2009|0|    2440|0|    2193|0|    1925|0|     -|-|    1980|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       6|    2403|0|    2373|0|     845|0|    1544|0|     -|-|    1955|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       7|    2373|0|    1963|0|    1180|0|    1427|0|     -|-|    2172|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       8|    2352|0|    2440|0|    1858|0|    2126|0|     -|-|    1067|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |       9|     628|0|     636|0|    1285|0|    1934|0|     -|-|     808|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      10|     837|0|    2248|0|     808|0|    1695|0|     -|-|     866|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      11|    2269|0|    2432|0|    2344|0|    1980|0|     -|-|     531|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      12|     883|0|     510|0|    1122|0|    2114|0|     -|-|       -|2|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      13|     351|0|     770|0|    1515|0|    1934|0|     -|-|       -|2|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      14|    1436|0|    2537|0|    1172|0|    2181|0|     -|-|       -|2|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      15|    2047|0|    2403|0|     866|0|    2030|0|     -|-|    1159|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      16|    1419|0|    2248|0|    2269|0|    1226|0|     -|-|     816|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      17|    1808|0|    2047|0|    2152|0|     866|0|     -|-|    2038|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      18|    2403|0|    1544|0|    2047|0|    1038|0|     -|-|    1934|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      19|    1963|0|    1038|0|    2059|0|    2248|0|     -|-|    1515|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      20|    1092|0|    2001|0|    2059|0|    2143|0|     -|-|     942|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      21|    1427|0|    1980|0|    2022|0|    2105|0|     -|-|    1067|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      22|    2059|0|    1352|0|    1838|0|    1971|0|     -|-|    1025|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      23|    2260|0|    1971|0|     749|0|    2047|0|     -|-|     787|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      24|    2507|0|     875|0|    2076|0|    2047|0|     -|-|     971|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      25|    2260|0|    1285|0|    1992|0|    1791|0|     -|-|    1172|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      26|    1457|0|    2352|0|     979|0|    1017|0|     -|-|    1218|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      27|     711|0|    1850|0|    1172|0|    1674|0|     -|-|    1276|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      28|     636|0|    2076|0|     875|0|    2009|0|     -|-|    2219|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      29|    1419|0|    2135|0|     988|0|    1925|0|     -|-|    2269|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      30|    2298|0|    2298|0|    1657|0|    1494|0|     -|-|    1657|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |      31|    1113|0|       -|-|    1704|0|       -|-|     -|-|    2059|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |     SUM|   51026|0|   55980|0|   47771|0|   52620|0|     -|-|   43431|0|
   |--------+--------+-+--------+-+--------+-+--------+-+------+-+--------+-|
   |    MEAN|    1646|0|    1866|0|    1541|0|    1754|0|     -|-|    1401|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
