   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: TETE

   Coordinates:

   Latitude =16DEG11'S

   Longitude =33DEG35'E

   Elevation = 154

   WMO Identifier: 67261

   Year 1984

   +-----------------------------------+
   |        DATE |         FEB |     F |
   |-------------+-------------+-------|
   |           1 |           - |     2 |
   |-------------+-------------+-------|
   |           2 |           - |     2 |
   |-------------+-------------+-------|
   |           3 |           - |     2 |
   |-------------+-------------+-------|
   |           4 |           - |     2 |
   |-------------+-------------+-------|
   |           5 |           - |     2 |
   |-------------+-------------+-------|
   |           6 |           - |     2 |
   |-------------+-------------+-------|
   |           7 |           - |     2 |
   |-------------+-------------+-------|
   |           8 |           - |     2 |
   |-------------+-------------+-------|
   |           9 |           - |     2 |
   |-------------+-------------+-------|
   |          10 |           - |     2 |
   |-------------+-------------+-------|
   |          11 |           - |     2 |
   |-------------+-------------+-------|
   |          12 |           - |     2 |
   |-------------+-------------+-------|
   |          13 |        2701 |     0 |
   |-------------+-------------+-------|
   |          14 |        2856 |     0 |
   |-------------+-------------+-------|
   |          15 |        2793 |     0 |
   |-------------+-------------+-------|
   |          16 |        2680 |     0 |
   |-------------+-------------+-------|
   |          17 |        2738 |     0 |
   |-------------+-------------+-------|
   |          18 |        2768 |     0 |
   |-------------+-------------+-------|
   |          19 |        2650 |     0 |
   |-------------+-------------+-------|
   |          20 |        2768 |     0 |
   |-------------+-------------+-------|
   |          21 |        2207 |     0 |
   |-------------+-------------+-------|
   |          22 |        1331 |     0 |
   |-------------+-------------+-------|
   |          23 |        2094 |     0 |
   |-------------+-------------+-------|
   |          24 |        2395 |     0 |
   |-------------+-------------+-------|
   |          25 |        2638 |     0 |
   |-------------+-------------+-------|
   |          26 |        2056 |     0 |
   |-------------+-------------+-------|
   |          27 |        1951 |     0 |
   |-------------+-------------+-------|
   |          28 |        2638 |     0 |
   |-------------+-------------+-------|
   |          29 |        2408 |     0 |
   |-------------+-------------+-------|
   |          30 |           - |     - |
   |-------------+-------------+-------|
   |          31 |           - |     - |
   |-------------+-------------+-------|
   |         SUM |           - |     2 |
   |-------------+-------------+-------|
   |        MEAN |           - |     2 |
   +-----------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
