   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: REUNION

   Station: ST-DENIS / GILLOT

   Coordinates:

   Latitude =20DEG53'S

   Longitude =55DEG31'E

   Elevation = 21

   WMO Identifier: 61980

   Year 1993

   +------------------------------------------------------------------------+
   |       DATE |        JAN |    F |        FEB |    F |        MAR |    F |
   |------------+------------+------+------------+------+------------+------|
   |          1 |       2349 |    0 |       1918 |    0 |        380 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          2 |       3010 |    0 |       2723 |    0 |        931 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          3 |       2329 |    0 |       2425 |    0 |        457 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          4 |       2926 |    0 |       2977 |    0 |        644 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          5 |       2615 |    0 |       2564 |    0 |       1556 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          6 |       3013 |    0 |       2363 |    0 |       2637 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          7 |       2287 |    0 |       2660 |    0 |       2584 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          8 |       1915 |    0 |       2678 |    0 |       1782 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          9 |       3086 |    0 |       2809 |    0 |       1669 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         10 |       2534 |    0 |       2769 |    0 |       2505 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         11 |       2599 |    0 |       2897 |    0 |       2459 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         12 |       2677 |    0 |       2468 |    0 |       2119 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         13 |       3102 |    0 |        393 |    0 |       1901 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         14 |       2876 |    0 |        272 |    0 |       2584 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         15 |       2454 |    0 |        928 |    0 |       2626 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         16 |       2752 |    0 |       1592 |    0 |       2469 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         17 |       2411 |    0 |        797 |    0 |       2598 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         18 |       2566 |    0 |        439 |    0 |       2295 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         19 |        432 |    0 |       2680 |    0 |       2524 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         20 |       1055 |    0 |       2170 |    0 |       2511 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         21 |       1915 |    0 |       2400 |    0 |       1957 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         22 |       2582 |    0 |       2242 |    0 |       2064 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         23 |       1834 |    0 |       1686 |    0 |       2284 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         24 |       2928 |    0 |       2394 |    0 |       1408 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         25 |       2809 |    0 |        926 |    0 |       1700 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         26 |       2563 |    0 |       1696 |    0 |       1773 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         27 |       2528 |    0 |       1052 |    0 |       1261 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         28 |       2572 |    0 |        347 |    0 |        960 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         29 |       2823 |    0 |          - |    - |        556 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         30 |       2679 |    0 |          - |    - |       1929 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         31 |       2751 |    0 |          - |    - |       2431 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |        SUM |      76972 |    0 |      53265 |    0 |      57554 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |       MEAN |       2483 |    0 |       1902 |    0 |       1857 |    0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
