   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: INHAMBANE

   Coordinates:

   Latitude =23DEG52'S

   Longitude =35DEG23'E

   Elevation = 14

   WMO Identifier: 67323

   Year 1980

   +------------------------------------------------------------------------+
   |   DATE|    JUL|F|     AUG|F|     SEP|F|     OCT|F|     NOV|F|     DEC|F|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      1|      -|2|    1769|0|    2224|0|    2769|0|    1778|0|    1147|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      2|      -|2|    1830|0|    1887|0|    2726|0|    3189|0|    3171|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      3|      -|2|    1648|0|    2137|0|    2249|0|    2838|0|    2133|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      4|      -|2|    1891|0|    2319|0|     857|0|    3223|0|    3513|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      5|      -|2|    1017|0|    2332|0|    2682|0|    2981|0|    2882|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      6|      -|2|    1380|0|    2344|0|    2609|0|    2898|0|    2297|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      7|      -|2|    1237|0|    2172|0|    2730|0|    1034|0|    3137|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      8|      -|2|    1333|0|    1211|0|    1233|0|    1013|0|    3379|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |      9|      -|2|    1838|0|    1545|0|    2259|0|    1484|0|    2176|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     10|      -|2|     197|0|    1691|0|    1514|0|    2851|0|    3339|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     11|      -|2|    1895|0|    2254|0|    2142|0|    3167|0|    1929|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     12|      -|2|    2215|0|    1822|0|    2587|0|    2972|0|    3284|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     13|      -|2|    2025|0|    1553|0|    1622|0|    2137|0|    2791|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     14|      -|2|    1882|0|    1264|0|    3011|0|    1622|0|    1501|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     15|      -|2|    1748|0|    1090|0|    3015|0|    1588|0|    2358|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     16|   1622|0|    1796|0|    2483|0|    2825|0|    2280|0|    2215|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     17|   1030|0|    1852|0|    1549|0|    2890|0|    3296|0|    1583|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     18|   1280|0|    1808|0|    2323|0|    2301|0|    2998|0|    2059|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     19|   1834|0|    2319|0|    1899|0|    2164|0|    2813|0|    2647|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     20|   1765|0|    2137|0|    2401|0|    1852|0|    2760|0|    2631|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     21|   1705|0|    1986|0|    2453|0|    2989|0|    2609|0|    3193|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     22|   1796|0|    1960|0|    2500|0|    2894|0|    3115|0|    2920|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     23|   1774|0|    2249|0|     805|0|    1302|0|    2821|0|    3335|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     24|   1359|0|    2306|0|    1791|0|     973|0|    2285|0|    3280|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     25|   1389|0|    2285|0|    1652|0|    2855|0|    2600|0|    1345|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     26|   1264|0|    2285|0|    1769|0|    1432|0|    2639|0|    1903|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     27|   1444|0|    1990|0|    1887|0|    2946|0|    1670|0|     748|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     28|   1355|0|    1899|0|    2042|0|    3089|0|    3115|0|    1276|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     29|   1757|0|    1592|0|    1864|0|    3115|0|    2168|0|    3509|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     30|   1852|0|    2172|0|    2154|0|    1691|0|    1034|0|    2813|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |     31|   1882|0|    2146|0|       -|-|    2544|0|       -|-|    3707|1|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |    SUM|      -|2|   56687|0|   57417|0|   71867|0|   72978|0|   78201|0|
   |-------+-------+-+--------+-+--------+-+--------+-+--------+-+--------+-|
   |   MEAN|      -|2|    1829|0|    1914|0|    2318|0|    2433|0|    2523|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
