   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 1987

   +------------------------------------------------------------------------+
   |     DATE |      APR |  F |      MAY |  F |      JUN |  F |     JUL | F |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        1 |     1947 |  0 |     1516 |  0 |      607 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        2 |     1373 |  0 |     1537 |  0 |     1147 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        3 |     1629 |  0 |     1625 |  0 |     1072 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        4 |     2186 |  0 |     2047 |  0 |     1168 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        5 |     2382 |  0 |     1867 |  0 |     1063 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        6 |     2475 |  0 |     2035 |  0 |     1118 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        7 |     2294 |  0 |     2064 |  0 |     1273 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        8 |     2110 |  0 |     2089 |  0 |     1076 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |        9 |     1478 |  0 |     1880 |  0 |      976 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       10 |     2387 |  0 |     1813 |  0 |     1110 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       11 |     2186 |  0 |     1826 |  0 |     1151 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       12 |     1905 |  0 |     1985 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       13 |     2027 |  0 |     1817 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       14 |     1792 |  0 |     1729 |  0 |      557 |  0 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       15 |     2261 |  0 |     1779 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       16 |     2458 |  0 |     1805 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       17 |     2010 |  0 |     1738 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       18 |     1809 |  0 |     1331 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       19 |     1951 |  0 |     1578 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       20 |     2282 |  0 |     1721 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       21 |     2152 |  0 |     1796 |  0 |        - |  2 |    2428 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       22 |     2303 |  0 |     1570 |  0 |        - |  2 |    2110 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       23 |     2441 |  0 |     1687 |  0 |        - |  2 |    1549 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       24 |     2227 |  0 |     1583 |  0 |        - |  2 |    2064 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       25 |     2278 |  0 |     1357 |  0 |        - |  2 |    2077 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       26 |     2336 |  0 |     1038 |  0 |        - |  2 |    1708 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       27 |     1972 |  0 |     1319 |  0 |        - |  2 |    1524 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       28 |     1830 |  0 |     1126 |  0 |        - |  2 |    2382 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       29 |     1218 |  0 |     1428 |  0 |        - |  2 |    1980 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       30 |      892 |  0 |     1800 |  0 |        - |  2 |    1491 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |       31 |        - |  - |     1704 |  0 |        - |  - |     829 | 0 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |      SUM |    60591 |  0 |    52190 |  0 |        - |  2 |       - | 2 |
   |----------+----------+----+----------+----+----------+----+---------+---|
   |     MEAN |     2020 |  0 |     1684 |  0 |        - |  2 |       - | 2 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
