   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZIMBABWE

   Station: BULAWAYO / GOETZ OBS.

   Coordinates:

   Latitude =20DEG09'S

   Longitude =28DEG37'E

   Elevation = 1344

   WMO Identifier: 67964

   Year 1975

+----------------------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 3179|0| 1887|0| 2203|0| 2790|0| 2328|0| 1788|0| 1934|0| 2182|0| 2473|0| 2199|0| 3334|0| 2366|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 2743|0| 2700|0| 1301|0| 2755|0| 2350|0| 1836|0| 1583|0| 2208|0| 2469|0| 1712|0| 3342|0| 1708|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 1728|0| 3269|0| 2186|0| 2610|0| 2174|0| 2049|0| 1515|0| 1591|0| 2610|0| 2593|0| 3235|0| 2024|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2076|0| 3346|0| 1836|0| 1139|0| 2139|0| 1352|0| 1305|0| 2260|0| 2602|0|  988|0| 2841|0| 1998|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 3509|0| 3385|0| 1896|0| 1464|0| 1558|0| 1737|0| 1960|0| 2221|0| 2606|0| 2781|0| 3025|0| 2640|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 3581|0| 3175|0| 2422|0| 1802|0| 1900|0| 1643|0| 1951|0| 2234|0| 2623|0| 3064|0| 2794|0| 2995|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   7| 3338|0| 2781|0| 2837|0| 1737|0| 1981|0| 1797|0| 1951|0| 2255|0| 2769|0| 3107|0| 3179|0|  869|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   8| 3381|0| 3201|0| 2076|0| 2534|0| 1883|0| 1228|0| 1939|0| 2311|0| 2734|0| 3051|0| 2867|0| 3137|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   9| 2465|0| 1861|0| 2297|0| 1939|0| 1318|0| 1591|0| 1977|0| 2358|0| 2555|0| 3013|0| 3325|0| 2957|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  10| 2755|0| 2589|0| 2418|0| 2448|0| 1780|0| 2049|0| 2139|0| 1544|0| 2499|0| 3080|0| 3346|0| 1669|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  11| 3325|0| 2358|0| 3080|0| 2170|0| 1917|0| 2041|0| 1571|0| 2015|0| 2088|0| 3170|0| 3325|0| 1450|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|  12| 3295|0| 1215|0| 2174|0| 1481|0|  894|0| 1994|0| 1784|0| 2148|0| 2418|0| 3175|0| 3320|0| 1780|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
