   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ANGOLA

   Station: DE BELAS

   Coordinates:

   Latitude =8DEG55'S

   Longitude =13DEG10'E

   Elevation = 53

   WMO Identifier: No WMO index

   Year 1978

   +------------------------------------------------------------------------+
   |    DATE|     APR|F|     MAY|F|   JUN|F|     JUL|F|     AUG|F|     SEP|F|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       1|    2541|0|    1712|0|     -|-|    1549|0|    1587|0|       -|2|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       2|    2294|0|    2173|0|     -|-|    1704|0|    1357|0|       -|2|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       3|    2077|0|    2072|0|     -|-|    1704|0|    1193|0|       -|2|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       4|    2315|0|    2106|0|     -|-|    1909|0|     695|0|    1800|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       5|    1624|0|    1951|0|     -|-|    1620|0|    1055|0|    1884|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       6|    1721|0|    1993|0|     -|-|    1805|0|    1704|0|    1160|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       7|    2407|0|    1696|0|     -|-|    1746|0|    1281|0|    1461|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       8|    1721|0|    1440|0|     -|-|    1809|0|    1491|0|    1700|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |       9|    2102|0|    1440|0|     -|-|    1763|0|    1231|0|    1922|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      10|    1959|0|    1800|0|     -|-|    1746|0|    1319|0|    2286|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      11|    2022|0|    1093|0|     -|-|    1641|0|    1197|0|    1968|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      12|    1922|0|    1549|0|     -|-|    1771|0|    1696|0|    1892|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      13|    1909|0|    2060|0|     -|-|    1511|0|    1122|0|    1583|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      14|    1972|0|    1541|0|     -|-|       -|2|    1461|0|    1377|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      15|    1373|0|    1905|0|     -|-|       -|2|    1583|0|    1662|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      16|    1985|0|    1859|0|     -|-|    1214|0|     708|0|    1658|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      17|    1926|0|    1934|0|     -|-|    1340|0|    1223|0|    1629|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      18|    1348|0|    1985|0|     -|-|    1365|0|     611|0|    2047|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      19|    2525|0|    2005|0|     -|-|    1243|0|    1277|0|    1390|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      20|    2123|0|    2156|0|     -|-|    1570|0|    1758|0|     791|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      21|    2211|0|    1972|0|     -|-|    1419|0|    1068|0|    1382|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      22|    1972|0|    2160|0|     -|-|    1457|0|    1156|0|    1993|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      23|    2357|0|    1897|0|     -|-|    1570|0|    1068|0|    1239|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      24|    1696|0|    2005|0|     -|-|     917|0|    1683|0|    1712|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      25|    2290|0|    1897|0|     -|-|    1817|0|    2052|0|     670|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      26|    2039|0|    1775|0|     -|-|     641|0|    1595|0|    1696|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      27|    2437|0|    1846|0|     -|-|    1323|0|    1411|0|    1976|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      28|     917|0|    1897|0|     -|-|    1260|0|    1411|0|    2186|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      29|    2290|0|    1587|0|     -|-|     682|0|    1495|0|    2035|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      30|    2131|0|    1185|0|     -|-|    1516|0|    1557|0|    2206|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |      31|       -|-|    1566|0|     -|-|    1457|0|    1696|0|       -|-|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |     SUM|   60206|0|   56257|0|     -|-|   46039|0|   41741|0|   50339|0|
   |--------+--------+-+--------+-+------+-+--------+-+--------+-+--------+-|
   |    MEAN|    2007|0|    1815|0|     -|-|    1485|0|    1346|0|    1678|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
