   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ANGOLA

   Station: DUNDO

   Coordinates:

   Latitude =7DEG24'S

   Longitude =20DEG49'E

   Elevation = 775

   WMO Identifier: 66152

   Year 1987

   +------------------------------------------------------------------------+
   |       DATE |        JAN |    F |        FEB |    F |        MAR |    F |
   |------------+------------+------+------------+------+------------+------|
   |          1 |       1800 |    0 |       1146 |    0 |       1239 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          2 |       2037 |    0 |       1955 |    0 |       2249 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          3 |       1436 |    0 |       2408 |    0 |       2163 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          4 |       1962 |    0 |       2074 |    0 |       2268 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          5 |       1987 |    0 |       2071 |    0 |       2563 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          6 |        830 |    0 |       2460 |    0 |       1312 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          7 |       1923 |    0 |       1924 |    0 |       2228 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |          8 |       2279 |    0 |       1186 |    0 |          - |    2 |
   |------------+------------+------+------------+------+------------+------|
   |          9 |        630 |    0 |       1646 |    0 |       1641 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         10 |       1946 |    0 |        609 |    0 |       1868 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         11 |       1459 |    0 |       1801 |    0 |       1253 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         12 |       1093 |    0 |       2046 |    0 |          - |    2 |
   |------------+------------+------+------------+------+------------+------|
   |         13 |       2265 |    0 |       1131 |    0 |       1347 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         14 |       1913 |    0 |       1022 |    0 |       1658 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         15 |       2274 |    0 |       1943 |    0 |          - |    2 |
   |------------+------------+------+------------+------+------------+------|
   |         16 |       1364 |    0 |       1242 |    0 |       2410 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         17 |       2202 |    0 |       1660 |    0 |        891 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         18 |        580 |    0 |       2420 |    0 |       1873 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         19 |       1675 |    0 |       1728 |    0 |       2455 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         20 |       1922 |    0 |       1910 |    0 |       2432 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         21 |       2284 |    0 |        804 |    0 |       2455 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         22 |       1336 |    0 |       1373 |    0 |       2154 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         23 |        971 |    0 |       1563 |    0 |        943 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         24 |       1042 |    0 |       1963 |    0 |       1220 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         25 |       1725 |    0 |       1911 |    0 |       2119 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         26 |       1917 |    0 |       1541 |    0 |       2393 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         27 |       1779 |    0 |       2260 |    0 |       2410 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         28 |       2262 |    0 |       2374 |    0 |       1518 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         29 |       1467 |    0 |          - |    - |       1544 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         30 |        831 |    0 |          - |    - |       1900 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |         31 |       2130 |    0 |          - |    - |       2283 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |        SUM |      51321 |    0 |      48171 |    0 |      58445 |    0 |
   |------------+------------+------+------------+------+------------+------|
   |       MEAN |       1656 |    0 |       1720 |    0 |       1885 |    0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
