   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: MANIQUENIQUE

   Coordinates:

   Latitude =24DEG46'S

   Longitude =33DEG32'E

   Elevation = 13

   WMO Identifier: No WMO index

   Year 1985

   +------------------------------------------------------------------------+
   | DATE|   FEB|F|   MAR|F| APR|F|   MAY|F|   JUN|F|   JUL|F|  AUG|F| SEP|F|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    1|     -|2|  2462|0|   -|-|  1403|0|   636|0|   942|0| 1558|0|1097|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    2|     -|2|  2403|0|   -|-|  1210|0|   812|0|  1432|0| 1587|0|1704|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    3|     -|2|  1947|0|   -|-|  1256|0|   896|0|  1327|0| 1486|0|1888|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    4|     -|2|  1708|0|   -|-|  1365|0|   867|0|  1470|0| 1181|0|1625|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    5|     -|2|  2299|0|   -|-|  1558|0|  1348|0|  1419|0| 1432|0|1135|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    6|     -|2|   657|0|   -|-|  1658|0|  1063|0|  1403|0| 1541|0|1880|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    7|     -|2|   532|0|   -|-|  1578|0|  1156|0|  1110|0| 1465|0|1704|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    8|  1650|0|  1541|0|   -|-|  1558|0|  1285|0|  1126|0| 1403|0|1633|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |    9|   264|0|  2173|0|   -|-|  1440|0|  1440|0|  1177|0| 1520|0|1826|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
   |   10|  2211|0|  2462|0|   -|-|  1273|0|  1411|0|  1239|0|  863|0|1947|0|
   |-----+------+-+------+-+----+-+------+-+------+-+------+-+-----+-+----+-|
