   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZIMBABWE

   Station: HARARE / BELVEDERE

   Coordinates:

   Latitude =17DEG50'S

   Longitude =31DEG01'E

   Elevation = 1472

   WMO Identifier: 67774

   Year 1986

+------------------------------------------------------------------------------------+
|DATE|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 2895|0| 1903|0| 2098|0| 1568|0| 1696|0| 1797|0| 1658|0| 1926|0| 1641|0| 1611|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 2980|0| 2317|0| 1961|0| 1702|0| 1784|0| 2027|0| 2096|0| 2188|0| 2107|0| 2459|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 2911|0| 1609|0| 1559|0| 1421|0| 1742|0| 1562|0| 2423|0| 2667|0| 2363|0| 1461|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2822|0| 2026|0| 2062|0| 1793|0| 1644|0| 1953|0| 2472|0| 2399|0| 2661|0| 2023|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2251|0| 1771|0| 1570|0| 1794|0| 1758|0| 1966|0| 2434|0| 2495|0| 2644|0| 1319|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2401|0| 2228|0| 1759|0| 1747|0| 1495|0| 1965|0| 2357|0| 2300|0| 2702|0|  942|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
